author,quote
Sanya Malhotra,I'm boring. I'm also a bit reticent and shy but very calm overall.
Julia Holter,What was special about Leonard Cohen's work was its calm mystery.
Toni Duggan,"In England, I think we get about 30,000 for maybe an FA Cup final, and there are lots of kids on the seats, which is nice - don't get me wrong - but it's a calm atmosphere."
Sam Bennett,I know when the racing starts everything will calm down and the legs will be there. It's in the days before you have to keep your mind occupied.
Chris Burke,"I want to be a professional. I want to be like my TV father, Bill Smitrovich. He's an easy, calm actor. I don't want to freak out."
Stephen Stills,"I love Obama's calm and dignity. A lot of people confuse that with being aloof, but I know people that have held that job. It's a 24-hour barrage of information."
Hirokazu Kore-eda,"Yes, a family is interesting. You can get a lot of drama in the conflicts there. It's like the sea. It seems calm, but inside there is conflict."
Kate Adie,"I keep telling myself to calm down, to take less of an interest in things and not to get so excited, but I still care a lot about liberty, freedom of speech and expression, and fairness in journalism."
Brooke Shields,"I love getting baths and going to the Korean spas and getting pummeled and scrubbed, and its so hot in the sauna you can't even stand it. I have to do things in a pretty extreme way to calm down. So a Swedish massage is not going to do it! I need to know that they're in there with their thumbs and moving stuff around."
Bill Callahan,"I did a lot of work without thinking about it in a calm, rational way. Stopping and thinking about what I was doing made my music calmer and deeper in tone."
Ernst Fischer,"If you can't pay for a thing, don't buy it. If you can't get paid for it, don't sell it. Do this, and you will have calm and drowsy nights, with all of the good business you have now and none of the bad. If you have time, don't wait for time."
Vijay Shankar,I think the inner strength that I have helps me stay calm.
Dinesh Karthik,I think I'm pretty calm. But I am very restless and fidgety.
Buster Douglas,"I'm a very good coach... because I see the way the kids react once they get in the ring and start actually sparring. I see that they are calm, relaxed, and they're working like we work in the gym, and they are doing what they've been taught."
Caroline Polachek,"My parents got divorced when I was really young and I was a very hyperactive kid, so both parents independently would play Enya at the house to calm me down and soothe me as a kid."
Conor McGregor,I always teach myself calm and visualization stuff.
Tim Pratt,"Stories are really important to people and can really change the way they understand, and even live, their lives. As such, I don't agree much with people who say, 'Calm down, it's just a story.'"
Vidya Balan,"I eat every two hours. I sleep for eight hours. I have lots of water. I pray to keep calm. Most importantly, I have a smile on my face."
Alan Arkin,"You have to think of your career the way you look at the ocean, deciding which wave you're gonna take and which waves you're not gonna take. Some of the waves are going to be big, some are gonna be small, sometimes the sea is going to be calm. Your career is not going to be one steady march upward to glory."
Mattie Stepanek,"Wars should be fought with words, not bombs, not weapons. And calm words. I think that wars should be fought over a chessboard and a cup of something to drink."
Brian France,"I use Amy as a major sounding board for a lot of things that come up, and she understands the family dynamic and business dynamics better than people would think. She is a big support and voice of calm when things are a little bit dicey, like great wives can be. She does all of that."
Germaine Greer,"Libraries are reservoirs of strength, grace and wit, reminders of order, calm and continuity, lakes of mental energy, neither warm nor cold, light nor dark."
Emma Willis,"I'm a worrier. I worry about everything - I worry about the kids, my family, my health, Matt's health. I always think the worst - and he keeps me calm, he's really optimistic. He's a constant support with everything."
Tom Sizemore,"I don't know what to say about it except Tom Hanks is a great person, a serious person; he's dissatisfied in a very likeable way, in a very discreet way, and Steven Spielberg is similar in his discretion and drive. But Spielberg is calm. He's this driven filmmaker and visionary. He really is."
Ralph Hasenhuttl,It costs me a lot to stay calm during a game.
Sage Northcutt,I'm still trying to figure out being calm.
Olivier Martinez,"Before, I was so stupid. But, you know, when you have friends who died on the street, you say, okay, let's calm down. It's not the kind of energy I want to have in life. I want to go slower, and longer."
Sarah Sutton,"We had a very energetic floor manager and he was always jumping around all over the place. The director would send down messages like, Can you tell that actor to calm down?"
Erika Jayne,"Being able to express yourself under the name Erika Jayne and saying things people want to say but wouldn't, or doing things that people want to do but don't, or taking that extra leap of faith or pushing the levels of sexuality, or whatever, that helps Erika Girardi stand on her own two feet and be calm and peaceful."
CL,I want to break that typical Asian female stereotype. There's this standard where they're all calm. I want to break that.
Carlo Ancelotti,"I like to be funny. I can't stay all the time focused, disciplined, controlled. Behaviour like that is impossible. If the players are too nervous before a game, I have to relax them, calm them."
Xander Schauffele,"All the techniques to help stay calm and focused, to control your mind, have all really helped me."
Thomas S. Monson,We may not only find faith in God in our sorrow. We may also become faithful to Him in times of calm.
Erica Durance,"I just keep looking for things that are interesting and keep calm as possible about it all, not worrying about being in a 'box.'"
Sarah Brightman,"I'm not flying to the moon. But when I've talked to people who have been up, you can tell it's really special because without fail a very special light comes into their eyes and they appear to be very fulfilled in some way and very calm."
Dean Potter,"I can calm myself by an intense will, and also by the simple ability to focus in the most dangerous situation on breath and nothing else."
Jofra Archer,Eoin Morgan and Joe Root have a really calm and open changing room. There's no tension there. You don't have to be walking on egg shells around any of the players.
Rosemary Mahoney,"The Egyptian Nile, though it does have its own particular hazards, is subject to none of what I find in Rhode Island. Since the Aswan High Dam was built in 1973, the Nile has become something of a grand canal. It is wide, flat, slow, and so calm it verges on the geriatric."
Ashley Roberts,"Bermuda - the waters are calm and shallow and are excellent for snorkelling. I loved St, George's on the tip of the island. I got to swing from the vines like a Jungle Jane and visit Crystal Caves, which were the inspiration for TV show 'Fraggle Rock.'"
Alexander Skarsgard,"As an actor, what's interesting is what's hidden away beneath the surface. You want to be like a duck on a pond - very calm on the surface but paddling away like crazy underneath."
Ron Rivera,"One thing my dad's always told me about leadership is when all hell's breaking loose, everyone's looking at you to see how you're handling it. If you're frantic and out of control, they're going to be frantic and out of control. If you're calm, cool and collected and doing the right things, they'll follow you."
Rami Malek,"Of course I would never compare myself to someone who actually went through a war, but I definitely matured shooting 'The Pacific.' I'm more calm and I have more patience."
Thich Nhat Hanh,"You accept that this civilisation could be abolished and life will begin later on after a few thousand years because that is something that has happened in the history of this planet. When you have peace in yourself and accept, then you are calm enough to do something, but if you are carried by despair there is no hope."
Sean Lock,"I would describe my driving style as calm authority, but my wife would call it demented. In my defence I've got a clean licence so probably the best way to describe it is crafty."
Stephen Gardiner,It was only from an inner calm that man was able to discover and shape calm surroundings.
Megan Thee Stallion,"Sometimes, when you're doing too much, things get overwhelming. So I just have to calm myself down and think, 'What would my mama want me to do?'"
Joe Lycett,"I love living in Birmingham, it's just a lovely gentle life, and it's calm. And it's full of Brummies who I find hilarious."
Devlin Hodges,"I've always been this kind of calm, cool and collected."
Mark Goulston,"Something I had learned from 30 years as a psychotherapist turned Fortune 500 executive coach when helping people to calm down is that it is much less important what you tell others than what you enable them to tell you and, in the process, tell themselves that results in them calming themselves down."
Lisa Brennan-Jobs,"Italy was where the soul went to find calm and love, and I wanted to hold the best of it in the palm of my hand."
Sabaa Tahir,"I like to write when things are calm - and when I'm not worried about my well-being, the well-being of those I love."
Yorgos Lanthimos,"I am calm but on the outside, mostly. When I'm on a film set, the stress is so humongous that I'm dying inside - I'm extremely stressed, but I do try, and... well, I don't try. I think it's my natural reaction to not externalize things."
Cory Lidle,"Since the trade, I was just thinking about this day and mentally preparing to not get too excited. I knew I was going to have some extra adrenalin out there so I was really doing what I needed to do just to stay calm, you know, just try not to do too much."
Origen,"When a house is being built which is to be made as strong as possible, the building takes place in fine weather and in calm, so that nothing may hinder the structure from acquiring the needed solidity."
Alex Rodriguez,"I just hope that as I get older, I calm down and enjoy the moment, enjoy the great gifts that God has given me."
Steve Kornacki,"I tried the Calm app, but that I don't rec - well, maybe I got a bad story or something - but it didn't work for me."
Sandra Tsing Loh,"When husbands and wives not only co-work but try to co-homemake, as post-feminist and well-intentioned as it is, out goes the clear delineation of spheres, out goes the calm of unquestioned authority, and of course, out goes the gratitude."
Cris Cyborg,"I'm calm some days, sweet some days."
Devin Townsend,"My dad's side of the family were calm folk from England, but the other side just loved to party. Somewhere between those two factions is me."
Ananya Birla,From my dad I learnt that it is very important to stay calm.
Sachin Tendulkar,"I grew up looking at my father as to how to behave. In watching him I grasped so many things. His own temperament was of a calm person. He was very composed and I never saw anger in him. To me, that was fascinating."
Christen Press,"On game days, I do yoga as just a really short routine. It's more to warm up and to calm down in the morning."
Dimitar Berbatov,"I cannot speak for other players, but it is always good when the manager comes to ask how you're feeling and makes you feel calm before you play the game."
Florence Welch,"I can't ever seem to shake the feeling that when things are really good it essentially means that things are going to go really bad. When I feel calm and settled, there is always an underlying feeling of impending doom... I don't think that it's healthy."
Rafael Nadal,"I was passionate about soccer. I still am. Odd, though - playing soccer always made me much more anxious than playing tennis. On soccer days, I'd be out of bed by 6 in the morning, all nervous. But I was always calm when it was time for a tennis match. I still don't know why."
Marc-Andre ter Stegen,"Coutinho's very calm, I think. He's very grounded and a good person."
Yoko Ono,"I don't think you should always stay calm in a tense situation, because you might not ever confront the problem. Maybe it's better to actually let yourself be tense - and find a solution."
Dexter Filkins,"The American surge of combat forces into Baghdad that was ordered by President Bush worked. And there was a calm, a relative calm that descended on the country kind of late 2008. That pretty much held until the last American combat soldiers left at the end of 2011."
Victor Lindelof,"I'm quite a calm player. I like to have the ball at my feet, I'm good with the ball and I'm quite good at reading the game."
Tanc Sade,"Freediving is by far and away the toughest sport mentally. You are underwater for up to seven minutes, and a lot of thoughts go through your brain, and you need to be completely calm and relaxed. In any other sport, you use increased adrenalin, but in freediving, you have to drop the heart rate down to 20 beats per minute."
Jon Hopkins,"Learning how to be calm and centered in any situation is a skill for life, whatever you do."
Jean Genet,Violence is a calm that disturbs you.
Fergie,"I have my team. Like if you see everyone around me - I have my hair and makeup girl, my assistant. They're very calm, they're all about positive energy. There're no drama queens. Everyone wants everyone else to have a positive experience. There are no agendas. I think it creates a healthy environment and there are no boundaries to cross."
Robyn,"Everyone deals with sadness and lack of love when they're kids, and all this abandonment. Most people do. Hopefully you want to learn something new, and you want to move on to this other place, and I think, for me, it was like, I really didn't know how to calm myself down."
Marcus Smart,"I look at basketball as like a storm. But it's the eye of the storm. The calmest place of it is to be right in the eye of it. And that's what basketball is for me; it's my eye. And while everything else around me is going on,' he continued, 'the destruction and things like that, basketball keeps me calm."
Vinnie Jones,"My mum calls my temper 'Devilman.' They say you calm down with age, but I don't know. It never goes away."
Courtney Thorne-Smith,"I hope I will be a calm mother; I do yoga and I meditate, and those should help."
Declan Rice,"I'm composed, and I'm a calm player."
Patrick Beverley,"I get booed everywhere I go. If that can take that off my teammates, that's good. Everyone else can just be calm."
Louis XIV,"You have only to see what became of my father's will immediately after his death, and the wills of so many other kings. I know it well; but nevertheless, they have wished it; they gave me no rest nor repose, no calm until it was done."
Aurora,"Many of my fans often tell me that they listen to my songs to get through things. And therefore, obviously, I hope that they can picture being in a place where things are better... I hope my songs can bring people to a calm place."
Nat Wolff,"Paul Rudd is too perfect. He's super talented, super nice and super calm. I just think he's a robot."
Joseph B. Wirthlin,"In the scriptures, 'peace' means either freedom from strife, contention, conflict, or war, or an inner calm and comfort born of the Spirit that is a gift of God to all of his children, an assurance and serenity within a person's heart."
Naga Chaitanya,"I'm calm and composed, and I don't expect a lot from anyone."
Julia Roberts,The kind of energy I attract is very calm.
Mariano Rivera,I like a calm life where nobody bothers me.
Brendan Bottcher,"If you can act calm, that's step one in trying to convince yourself to be calm."
Moshe Safdie,"We live in a complicated, oppressive world with enormous cities and vast populations, and I try to contribute by making it more light and open and calm."
Dee Dee Myers,"Obama seems like he tries to talk everyone into what he believes - and that's part of why we elected him, because he's a calm, reasonable guy - but behind that, there has to be some fight. You have to be able to take a few punches and throw a few punches."
Gennaro Gattuso,"In football, it's not enough just to be amazing, but you also have to have a clear head. If you're not calm, it becomes very difficult."
"Kingman Brewster, Jr.","Maybe you are the 'cool' generation If coolness means a capacity to stay calm and use your head in the service of ends passionately believed in, then it has my admiration."
Davis Webb,"I think I needed to hit the reset button and figure out how I want to play football. I want to play football at a smooth, calm level."
Clare Balding,"If you are fearful, a horse will back off. If you are calm and confident, it will come forward. For those who are often flattered or feared, the horse can be a welcome mirror of the best in human nature."
Neko Case,"I just really dig feeling subservient to nature. It brings me a peace and calm. Kind of like a Faustian thing, I think."
Vladimir Kramnik,"No - I'm quite calm inside during the game for most of the time - not 100%, but generally very calm."
Chris Wilder,You have to be calm as a manger.
Dennis Eckersley,"Sooner or later you learn that you belong in the big leagues, and that makes you calm down."
Dimitar Berbatov,"I am a relaxed guy. I play that way, and I can't change my style. I watch games and see guys who panic on the ball - they look so nervous. I can be calm, because I sometimes know what I want to do before the ball comes to me."
Walter Matthau,"I wanted to be a pharmacist. I liked the way our local pharmacist was always dressed in a nice white coat; he looked very calm, you'd give him money, and he'd give you something that you wanted to buy."
Cain Velasquez,"My life is calm. Once I get home from practice, I just want to spend time with my family."
Gretchen Rubin,One of my most important 'Secrets of Adulthood': Outer order contributes to inner calm.
Keenen Ivory Wayans,I'm just calm under fire. I'm not intimidating at all.
Giannis Antetokounmpo,I love how quiet and calm Milwaukee is.
George Groves,I've always been able to stay calm in high-pressure situations.
Kieran Bew,"Beowulf is not a superhero. He has a talent, very much like Clint Eastwood in 'Unforgiven.' He's very good at staying calm in the right moment, but he does bad things. It's very much about having talent in a tight spot."
Leona Lewis,"I think when people see that you are shy, or even just calm, collected and reserved, they think you can be pushed around, made to do everything they want - but that's definitely not true of me. The people closest to me know that's not the case. They know I'm not a pushover."
Erika Christensen,"At the premiere for 'Leave It to Beaver,' I was walking down the red carpet, and they were screaming my name, and I'm wondering, 'What do I do?' So I had to think, 'OK, calm down, one person at a time.' Everything is kind of rattling, but afterwards, my publicist said I did really good."
Helen Garner,Writers seem to me to be people who need to retire from social life and do a lot of thinking about what's happened - almost to calm themselves.
Drew Barrymore,"As I've gotten older, I've really wanted to find more balance and calm."
Carson Wentz,"I listen to worship music before the game to calm my nerves and just go out and have fun. It's a game, and I try to enjoy it."
Edmund Waller,The seas are quiet when the winds give o'er; So calm are we when passions are no more!
Blake Shelton,"The way my family always did Christmas was on Christmas Eve, it wasn't really centered around a dinner on Christmas Eve. It was more about keeping the kids calm. Sometime after dark is when we were going to open all the presents underneath the tree from Mom, Dad and the kids and everything - just the family presents was every Christmas Eve."
Alex Morgan,"I really try to take a step back from the soccer world and going a thousand miles an hour every day. I like to do some sort of either meditation or mental visualization or breathing exercises - something to calm my mind down because a lot of times, it's just going faster than it should."
Jay-Jay Okocha,I pray a lot and it has helped me throughout my whole career to stay calm and focused.
Nnedi Okorafor,"I go to the ocean to calm down, to reconnect with the creator, to just be happy."
Josefa Iloilo,"Let us make a pledge now to help Fiji through this very important next stage of its journey. We can do this by promising to be patient, calm and tolerant and by respecting the views of others, even if we disagree with them."
Fallon Sherrock,"If I'm in a pressurised situation, I've learned to breathe, chill myself out and be calm."
Theo Paphitis,I don't really sleep until gone midnight anyway. It takes me a while to calm down before my mind allows me to switch off.
David Lynch,I thought when I started meditation that I was going to get real calm and peaceful and it's going to be over. It's not that way; it's so energetic. That's where all the energy and creativity is.
Robert Cailliau,There was a time when the community that was on the Net was homogenous and civilized. Now it's not. We're in the middle of chaos. It may calm down. But the alternative is that there's a total meltdown of the system and that it becomes unusable. That would be a catastrophe.
Henepola Gunaratana,Watch the functioning of your own mind in a calm and detached manner so you can gain insight into your own behavior.
Charles Sanders Peirce,"Doubt is an uneasy and dissatisfied state from which we struggle to free ourselves and pass into the state of belief; while the latter is a calm and satisfactory state which we do not wish to avoid, or to change to a belief in anything else."
Anthony Rendon,"I just try to stay cool, calm and collected."
Charles Leclerc,"F1 weekends are full of things and any time that you have five minutes, you need to use it as well as possible to calm down."
Mary Pipher,"One important reason to stay calm is that calm parents hear more. Low-key, accepting parents are the ones whose children keep talking."
Shawn Mendes,"There are times when I'm super-overwhelmed, and everything feels like it's hitting me in the face at once, but I think what's keeping me calm, and who I am by staying true to myself, is my whole family being so supportive and keeping me grounded. They treat me the exact same way they treated me years and years ago."
Wanderlei Silva,"Sometimes, people say, 'You need to fight smart.' After a fight gets started I don't know what happens with me. I feel crazy. A lot of times my coach says, 'Calm down. Calm.'"
Rutger Bregman,"Since 1963, the University of Delaware's Disaster Research Center has conducted nearly 700 field studies on floods and earthquakes, and on-site research reveals the same results every time: the vast majority of people stay calm and help each other."
Christian Eriksen,I don't like it hectic; I like to keep it calm and do my thing - play the pass. I think you see the pass if you are in a good state of mind.
Zoketsu Norman Fischer,"There may be a long list of things to do, but really, there is just one thing on the list at any time. If you think of it like that, the whole world looks different and you can stay quite calm. Maybe everything will get done eventually and maybe not. You can always have hope."
Christy Turlington,Yoga gave me the ability to calm down.
Holly Black,"One of the great things about writing middle-grade books is that it's really a nice break, when you're writing super intense stuff like 'Coldtown', to be able to write something a little lighter - calm down and do something different."
Aaron Taylor-Johnson,I like my world to be calm.
George Zimmerman,"Honestly, I want to live a calm life without being in the press. I want to be like any other American citizen who gets a speeding ticket or has an argument with his spouse... and doesn't have the whole world know."
Cesar Millan,"Bill Gates can't control a high-level-energy dog, because his energy is very low, very calm. Very intellectual. A dog doesn't see that as leadership."
Traian Basescu,"Even the National Bank of Romania doesn't have the huge resources needed to intervene in the market and keep the leu at an acceptable level, because they're drawing close to a floor below which the bank's reserves can't drop. The central bank has to wait for a moment of calm to efficiently conduct its interventions."
George M. Church,I'm pathologically calm.
Alain de Botton,"Artworks are especially good at helping our psyches in a variety of ways: they rebalance our moods, lend us hope, usher in calm, stretch our sympathies, reignite our senses, and reawaken appreciation."
Philip Rivers,"Cool under pressure can be misinterpreted. I'm fired up, but in my mind, I'm calm. Here comes the next play, hurry up, let's go."
Alexander Ovechkin,"Moscow is a big city. It's all nerves - something's always happening somewhere. D.C. is a quiet, calm family town."
Tobin Bell,"What's interesting is that you can have a set that's very calm, very smooth, very cooperative... and end up with a terrible movie. And you can have a set that's really horrible as far as relationships and volatility, and come up with a great movie. Sometimes that energy gets infused into what ends up on film - it's interesting in that way."
Jo-Wilfried Tsonga,"In regular life, I'm somebody pretty simple, pretty calm."
Didier Deschamps,"It's not just about the words you use, but the way you use them, and the message that puts over. Also your face too and the way you project your message. If you're telling the group to stay calm, be good, and you have beads of sweat dripping down your forehead, you're in trouble."
Aja Brown,"I've always been calm, and I'm very good in a crisis."
Johann Kaspar Lavater,"He who seldom speaks, and with one calm well-timed word can strike dumb the loquacious, is a genius or a hero."
Sunil Chhetri,"I am criticised for not celebrating my goals enough. I am very happy from within, very calm. I just don't celebrate. I celebrate inside."
Agnetha Faltskog,"I was so tired once 'Abba' was over and just wanted to be calm and with my children. I married, was in 'Abba,' had my children, divorced, all in ten years. I wonder how I managed it, but I was young."
Alexander Woollcott,The English have an extraordinary ability for flying into a great calm.
Channing Pollock,Calm self-confidence is as far from conceit as the desire to earn a decent living is remote from greed.
Juan Mata,"When I signed for Valencia, it wasn't the best moment of my football career because in the beginning, I was not playing a lot. But I remained calm, and I knew that if I trained well and played as I know, I'm sure I can get a place in the first XI."
Montaigne,I take after my dad in the calm and measured way he approaches situations.
Roy Hodgson,"I think any manager who tells you, 'I am very good at keeping my equilibrium. I'm always calm and reasoned, and results don't affect me particularly. I can take the good with the bad, and I can put the wins and the losses in perspective,' you will find a special person. I've never met one."
Henry David Thoreau,The language of excitement is at best picturesque merely. You must be calm before you can utter oracles.
Jonathan Kozol,"In schools with a history of chaos, the teacher who can keep the classroom calm becomes virtually indispensable."
Toby Jones,"I was a fan of Hitchcock, but more importantly than that, he is such an inscrutable man, and a very carefully inscrutable man. He apparently was blank-faced with a calm and controlled presence. I was immediately anxious and thought, 'How am I going to get behind that?'"
Rag'n'Bone Man,"The insomnia just perpetuates. I have one bad night, then I get it in my head that I can't sleep. I've been trying these meditation tapes - there are a couple on Spotify - and they're meant to calm you. But they don't seem to work."
James Holzhauer,"Even though I'm used to losing bets every day, I am not calm when I sweat a game."
Metta World Peace,"The panda is a funny, lovable animal, which defends its territory well. It's strong but calm. It suits me perfectly."
Ali Hewson,You'll have an unbelievable sense of calm when you have a baby.
Mr. T,"You'll never have any trouble with Mr. T, I'm just a big, calm teddy bear kind of guy. Mr. T ain't ashamed to cry. When I go out and I meet people who are suffering and they come and talk to me, Mr. T cries, Mr. T who could break a man's jaw with his fist."
Shane Carruth,"Going to grocery stores is almost my favorite thing to do to calm myself down. There's something about just walking aisle after aisle making mundane choices. 'Do I want that? No, I want the one that has the low sodium.' And that feels like a good exercise to be doing when there isn't anything to be doing. It's like a kick-starter in some way."
Gary Sheffield,"The rage was in me, and if it wasn't for the rage, then I wouldn't know how to be calm. They feed off of each other. Just like when Malcolm X fed off Martin Luther King. They needed each other."
Min Jin Lee,"I had thought that Tokyo would be like New York City, but it wasn't. I'd imagined that they'd be similar in their bustle and noise level, but, in fact, Tokyo is a very calm metropolis. The bright lights and hectic night-life images so often found in advertisements and Western media do not reflect every day Japan."
Chade-Meng Tan,"If the mind is calm, your spontaneity and honest thoughts appear. You become more spontaneous."
Nicola Formichetti,"Having plants and flowers in my space makes me feel very calm and Zen. For me, it's important to meditate every morning to be very clear in the head, and nature really helps me do the same thing."
Monica Crowley,A president is supposed to calm the American people with sober decision-making in the national interest.
Katy Perry,"I still want to be as approachable and relatable as possible - when I meet fans and they're crying, I'll say, 'Calm down, there's nothing to cry about.'"
Aerin Lauder,My day typically starts with an early-morning walk through Central Park. It's a nice moment of calm before my routine starts.
Ana Ortiz,I couldn't have asked for a better kid. She's our own little Buddha baby so far. I'm waiting for the other shoe to drop to tell you the truth. It's like the calm before the storm.
Carl Honore,"Research has shown that time pressure leads to tunnel vision and that people think more creatively when they are calm, unhurried and free from stress and distractions. We all know this from experience."
Aaron Judge,"In baseball, you have to remain calm, cool, and collected. In football, you can let out a little anger sometimes. It was a fun game, and I liked it, but I knew in my heart I was going to play baseball."
Aleksandar Mitrovic,"I had some problems in the past when I made some stupid mistakes and got some stupid cards, but I learned a lot from this, and I know now how to calm myself down."
Pia Wurtzbach,"I felt calm when I was called first runner-up because I felt it was fate. But when they announced that I was Miss Universe, I had mixed emotions. I was happy because I really wanted to win but felt sad for Miss Colombia."
Shania Twain,"Horses calm me. I love being around them. They smell great, they are beautiful to look at, they are loving, demanding, temperamental, and they settle you."
Shankar Mahadevan,I don't mind travelling to and fro from Navi Mumbai for work because the calm and serene atmosphere I enjoy here is unparalleled.
David Haye,"In the lead-up to fights, I'm very relaxed, very calm."
Kaetlyn Osmond,"Living in Edmonton feels so calm, but there is still so much to experience. I know I can find something to do if I want to have fun."
Gennaro Gattuso,"I pretend to be calm, it's not a word in my vocabulary."
Alex Smith,"As a quarterback, I always feel like it's my job to be that steady, calm presence in there."
Guy Pearce,"I'll generally write out every scene that's in the film on a couple of pieces of paper, just with a little one-line. And then I can scan it a bit and go, 'This first third of the film, generally, I'm kind of calm.' Then I might do something on one piece of paper that just relates to the energy of the character."
Teresa Heinz,"I don't know Laura Bush. But she seems to be calm, and she has a sparkle in her eye, which is good. But I don't know that she's ever had a real job - I mean, since she's been grown up."
Wynton Marsalis,"The nerves are a problem on trumpet, because when you mess up everyone can hear it. Just remember most people are too polite to say anything about it. That should calm your nerves."
Robbie Williams,I've deliberately tried to calm myself down because eventually I want to be a good role model to my kids.
Rebecca Harding Davis,"Sitting by the chimney corner as we grow old, the commonest things around us take on live meanings and hint at the difference between these driving times and the calm, slow moving days when we were young."
Jim Sullivan,I used to get nervous so I took up Yoga to help me calm down.
Keith Miller,"Religious work is one of the best ways to keep from facing your reality if you are Christian, if you are using it to calm the pain, because that it what all addictions are, attempts to cover the pain of this spiritual disease."
Bernard Pivot,French is a language that makes those who speak it both calm and dynamic.
Christina Milian,"I have to have a little bit of time to myself right before whatever it is that I have to do because most of the time I'm sitting in my head convincing myself to calm down, all right, show down."
John Newcombe,"I wouldn't, a little bit frightened but throughout my life I'd learnt that when you're in the serious situations, you've got to try to stay calm. Because that's the way you get out of them."
Caleb Cushing,"Entertaining these opinions of the course to be pursued, I beg of gentlemen to look at the question, as I have done, in a calm review of facts and of principles."
Jean Alesi,I am a professional. At the circuit I am calm. At home I am very different.
Jean Alesi,"Am I calm all the time? That is a question to ask my mother. I am very happy in my home. I have a good family, that gives me something extra."
Xun Kuang,"If the blood humor is too strong and robust, calm it with balance and harmony."
Georges Simenon,"It was night and I could see a large and calm lake, reflecting the moon. Black mountains rose around it. I arrived from between two of these mountains, I looked at the lake and the moon, and that was it, nothing else happened."
Brandon Routh,"That's definitely a part of who Superman is and definitely who Clark on the farm is. It translates to how calm he is. I feel like I'm pretty calm most of the time and relaxed, which gives presence to the character."
Eamon de Valera,"When we have done our best, we can, as a united people, take whatever may befall with calm courage and confidence that this old nation will survive and if death should come to many of us, death is not the end."
Mariel Hemingway,"I began by doing physical yoga, initially just for the workout, as exercise. I would get peaceful and calm at the end of it, and I was curious about that."
Jeremy Bulloch,"I love doing this day, and George was exactly as he's always been, very calm and very gentle, and if I'm in the final cut in the summer theater, I'll be thrilled. If I'm not, well that's the way things go."
Indra Devi,"Tell your husbands any bad news when everything is calm, not just as they come through the door."
Francois de La Rochefoucauld,"The moderation of people in prosperity is the effect of a smooth and composed temper, owing to the calm of their good fortune."
Larry Craig,I urge calm and sensitivity to the fundamental civil liberties of our country.
Richard Grasso,Let's take a timeout. Let's allow investors the opportunity in a period of market calm to re-examine what's happened and to deploy new strategies into the marketplace.
Serj Tankian,"People think our music's very aggressive or angry or whatever, and it's just the opposite, really... I like laughing. And I like being really calm before a show, and smiley."
Andre Kostelanetz,Everybody should have his personal sounds to listen for - sounds that will make him exhilarated and alive or quiet and calm.
Timothy Geithner,The recognition that things that are not sustainable will eventually come to an end does not give us much of a guide to whether the transition will be calm or exciting.
Shawn Johnson,My other life keeps me calm and grounded and normal.
Pauline Marois,I feel like saying we need to all calm down a little. Let's take the time to breathe. I have no intention of allowing myself be distracted.
George Lopez,"The first night was awful because I was so afraid, and I was never more afraid because it was going out of my character to be outgoing and to be vulnerable and to be out there and onstage. My hands were sweaty and I couldn't swallow, and I drank a bottle of wine to calm my nerves."
Ludacris,"'Ludacris' is something that I made up. It just kind of describes me. Sometimes I have like a split personality. Sometimes I'm cool, calm, and collected, and other times I'm beyond crazy."
Eliot Spitzer,"The attacks on the World Trade Center and the Pentagon shook our nation to the core. Americans were deeply frightened, sad, and angry, and they rallied around a President who, at the time, showed impressive certitude and calm."
Anne Hathaway,"I'm pretty good at remaining calm during an emergency. My house burned down when I was 12, which made me really pragmatic about what needed to be done. But I can be bad in that I compartmentalize a lot of emotions and push them away to deal with them at a later date."
Kevin Durant,"My acting coach I've got here, Richard Lawson, he's been doing good, just telling me to calm down sometimes and just be me."
Gary Locke,"I've been through WTO riots in Seattle, massive earthquakes, major floods... forest fires. I just try to be as even-keeled and calm as possible."
Gus Van Sant,"Yeah, I try to be really calm."
Shirley Henderson,"Children don't just play any more - they're far too busy learning to fence and taking extra French classes. In the end, you're actually doing more damage to your children by trying to hot-house them. It's far better to remain a calm parent."
Lee Child,A calm environment is for after I finish work.
Lydia Ko,"If I make a bogey or three putt I'm on fire inside. But it's not like you're going to play any better slamming your club or getting angry. So you might as well just keep it in. People say I'm pretty calm, but I do make mistakes and I do get angry, but I try and not show it."
Kevin Pietersen,"I've had to calm down, I have a kid! It is amazing. It's the best thing ever. Nothing better than it."
Jenson Button,"In the car and in front of the camera I tend to be very calm but behind the scenes I can get fired up and passionate, I just don't see the need to shout my mouth off in public."
Jane Seymour,"After my divorce, painting took me out of panic mode and into a serene, calm place. I could absolutely lose myself."
Courteney Cox,I want to be calm.
Jessica Brown Findlay,"Sometimes when a scene is written or directed to be shouted or played incredibly angrily, I always think it's way more terrifying when someone is fuming and talks in a very calm way. I always want people to shout at me if they're angry - it freaks me out that whole thing of, 'I'm not angry I'm just disappointed.'"
Heston Blumenthal,"This kitchen is completely calm. Some of the old-fashioned chefs - they become kings in their kitchen, they've got to be called chef. But I don't care if someone calls me chef or Heston, it really doesn't bother me."
Freida Pinto,I definitely need to date someone who is calm.
Lev Grossman,"I don't know if I've ever derived such an immediate sense of calm and well-being from any book as I did from 'Right Ho, Jeeves.' It was like I was Pac-Man and the book was a power-up."
