author,quote
Joko Widodo,"It's now our responsibility to prove to ourselves, to other nations, and especially to our children and our grandchildren, that politics is full of fun; politics has some wisdom. Politics is freedom."
Charli XCX,Being nice is awesome. You have more fun; you meet more people.
Lindsey Wixson,I've always liked playing with makeup. It's fun. I love going places and getting dressed up.
Chris Hemsworth,Being a superhero is a lot of fun.
Katie Lee,"I think it's fun to serve comfort food because it's an instant ice-breaker. If somebody's expecting fancy food, and you whip out some fried chicken, they feel like, you know, they can put their elbows on the table, and the etiquette police aren't going to come out."
Stella Maxwell,"For me, the runway is fun. I try to just chill out and look at faces in the crowd if I can."
Mads Mikkelsen,"Being physical and doing my own stunts - it is fun to do these kind of films once in a while, especially before you get too old."
Laura Dern,It's really fun to act like a bimbo. But it's fun to act like a bimbo only when people know that you really aren't one.
Afrika Bambaataa,"The Universal Zulu Nation stands to acknowledge wisdom, understanding, freedom, justice, and equality, peace, unity, love, and having fun, work, overcoming the negative through the positive, science, mathematics, faith, facts, and the wonders of God, whether we call him Allah, Jehovah, Yahweh, or Jah."
Christopher A. Wray,What was once a comparatively minor threat - people hacking for fun or for bragging rights - has turned into full-blown economic espionage and extremely lucrative cyber crime.
Suzi Quatro,I would like to live forever in people's hearts and minds; that would be fun. I'll leave the world my art.
Ninja,"You want to stop playing 'Fortnite,' man, because you aren't having fun anymore? Good. Go watch someone else. Go play another game."
Missy Franklin,"A huge part of swimming for me is I love it, and it is so much fun."
Jerome K. Jerome,There is no fun in doing nothing when you have nothing to do.
Oliver Jackson-Cohen,"It's never fun having to bulk up for a job on an action film, then lose weight for another role. I don't actually mind working out, but it's the diet: I'm half-French, so I love my food, and boiled chicken breast for breakfast is not my idea of a good meal."
Chuck Liddell,"I was in 'The Postman Always Rings Twice' with Jack Nicholson. That was fun. I think I made, like, $33 or something. I got to miss a whole day of school, and when you're a little kid, that's cool."
Phyllis George,"Crafts make us feel rooted, give us a sense of belonging and connect us with our history. Our ancestors used to create these crafts out of necessity, and now we do them for fun, to make money and to express ourselves."
Norman Schwarzkopf,"The fun of fishing is catching 'em, not killing 'em."
Faith Ringgold,I guess I had fun doing it but it has hard memories for me.
Nicole Kidman,"I love acting, but it's much more fun taking the kids to the zoo."
Regis Philbin,"I'm involved in the stock market, which is fun and, sometimes, very painful."
Sophia Lillis,"I'm not really a redhead, but I keep playing these redhead actresses. Which I don't mind; I think it's fun."
Rachel Bilson,Leather accents on pieces make it fun and spices up an outfit.
Bayley,"It's been a long road for me coming from NXT. I've been with NXT for almost four years, and just getting to WWE, and now being able to travel with them, I kind of have to make new friends and get hotel rooms and travel in different cities every single night. It's very different, but it's so much fun."
Milla Jovovich,"At the age of 16 I was already dreaming of having a baby because I felt myself to be an adult, but my mum forbid it. Right now, I feel like a teenager and I want to have fun for one or two more years before starting a family."
Stephen Curry,"The vibe in our locker room is real energetic and fun and real personable, I think from Day 1. That gets you through a lot of tough times, where in hard times, it might be common nature for guys to do their own thing and split up and become silent."
Norah Jones,It's fun to peek into other people's worlds and see how they go about doing things.
Victoria Silvstedt,It's fun being beautiful. It's awesome.
Ina Garten,"I try to greet my friends with a drink in my hand, a warm smile on my face, and great music in the background, because that's what gets a dinner party off to a fun start."
Michelle Obama,The problem is when that fun stuff becomes the habit. And I think that's what's happened in our culture. Fast food has become the everyday meal.
Tommy Bolin,If you're not having fun it's not worth doing.
Catriona Gray,"Ever since Binibini, I've really been hands-on since I've been an independent candidate. I'm hands-on in every single aspect of my preparations because I'm having so much fun."
Doris Day,"I like joy; I want to be joyous; I want to have fun on the set; I want to wear beautiful clothes and look pretty. I want to smile, and I want to make people laugh. And that's all I want. I like it. I like being happy. I want to make others happy."
Dennis Miller,I had fun pretending to be a sportscaster. People always think that was a down thing for me. I had the best job in sports broadcasting for two years.
Michael Che,"I have six brothers and sisters. My mother has six kids from two different marriages. And we would just sit around making fun of each other's dad, and all our dads had real problems."
Shirley MacLaine,"I think of life itself now as a wonderful play that I've written for myself, and so my purpose is to have the utmost fun playing my part."
Yara Shahidi,"Never jeopardize who you are for a role. Now, I'm not saying you should never change for a role, because the fun of being different characters is adapting different nuances and different parts of the character, but never jeopardize your moral compass or anything like that to have a role."
Noam Chomsky,Civil disobedience is - it's no fun.
Bo Burnham,"Postmodern comedy doesn't work well with very old audiences, because it's making fun of the comedy they enjoy."
Doug Stanhope,"I love conspiracy theories. I used to just live on it. You know it's all hype and garbage, but you're still really paranoid afterwards. It's fun entertainment."
Michael Bloomberg,It's no fun to protest on an empty stomach.
Jordan Knight,"I believe in love that's fun, that is caring, giving, and that is honest."
Chuck Berry,"I wanted to play blues. But I wasn't blue enough. I wasn't like Muddy Waters, people who really had it hard. In our house, we had food on the table. We were doing well compared to many. So I concentrated on this fun and frolic, these novelties."
Tobey Maguire,"The most attention I get is in a book store or video shop when I go to the foreign film section. Sometimes that can be fun, but usually those women want to talk about philosophy or something very dense. It's not like they're tearing off my shirt, you know."
Jeremy Renner,I used to hang out at karaoke bars all the time. It was the most fun you could have when you had no money.
Tony Randall,Marilyn Monroe was no fun to work with. She would report to work around 5:00 in the evening. You've been in make-up since 8:30 in the morning waiting for her.
Joe Lycett,"I've developed a fun text when a friend has just had a baby. I ask a classic question: 'Are you sleeping?' The reply is inevitably that they aren't, they're getting a few hours here and there, they're exhausted. It's then when I swoop in: 'It'll all be worth it when they're softly stroking your hair as you slip into oblivion.'"
Richard Thompson,It's fun to sing sad songs. And it's fun to listen to sad songs. Enjoyable. Satisfying. Something.
Nicholas Gonzalez,It's just a fun time going up to Vancouver.
Teyonah Parris,"I love my 'Survivor's Remorse' cast. They are so funny and crazy, like a big dysfunctional family. It's so much fun, and I love the issues that we talk about on that show. We deal with nuanced and controversial issues, and we do it in a way that's funny. It's comedy."
Sanjay Dutt,"Kolkata is a great city, has great food and great people. We had some problems finding the kind of old buildings we were looking for, and even handling the crowds, but on the whole it was fun shooting there."
Anne Hathaway,"I think fashion is a lot of fun. I love clothes. More than fashion or brand labels, I love design. I love the thought that people put into clothes. I love when clothes make cultural statements and I think personal style is really cool. I also freely recognize that fashion should be a hobby."
Mike Budenholzer,"Growing up in a small community where everybody knows everybody, it was a lot of fun. Great friends, great memories."
Jimmy Connors,"Tennis was never work for me, tennis was fun. And the tougher the battle and the longer the match, the more fun I had."
Dick Cavett,William F. Buckley was a man who had a great capacity for fun and for amusing himself by amazing others.
Stephen Karam,"To be honest, it's more fun being the underdog."
Brittany Murphy,It's easy to get wrapped up in sharing everyday life with a partner. It's fun to get lost in love and romance. It's the best. But holding on to yourself while doing that is the most important thing.
Miley Cyrus,"As soon as I step on that stage, nothing matters. I don't think of it as work. It's just so much fun."
Kumar Mangalam Birla,"Only when emotion is involved do you get angry and lose your temper. You could have different points of view, but as long as it is constructive dissent, it is fun."
Rosanna Pansino,"The content I create reflects my personality: goofy, fun, positive, a bit clumsy, family-friendly, educational and helpful."
Rob Gronkowski,"You've just got to have to put the work in. Put work first. Put the hours in and the time in, and do your job. And when you get a little time off, you can go out and have a little fun. But you have to make sure you get done what you need to get done first off."
Kristen Bell,I have the best roommates in the world! It creates a fun sense of family... and that's really important to me. Things can get so lonely without it.
Robin Wright,"Oh my God, Zumba is the greatest invention ever for women. I like to exercise, though I do nothing consistently because I get bored and impatient. With Zumba, you're dancing, you're moving your hips. So much fun."
Colin Powell,"Have fun in your command. Don't always run at a breakneck pace. Take leave when you've earned it, spend time with your families."
Paul Prudhomme,"Have fun. Do something nobody else had done before, or has done since."
Colbie Caillat,"I think the older you get, the more you know about life, and the more you learn about yourself and you become comfortable in your own skin. So the older I'm getting, the more fun I'm having."
John Grisham,"Nobody wants to read about the honest lawyer down the street who does real estate loans and wills. If you want to sell books, you have to write about the interesting lawyers - the guys who steal all the money and take off. That's the fun stuff."
Joe Gold,"That's the object of going to a gym, having fun."
Adam Ondra,"What really motivates me to climb harder and harder is not necessarily that I want to push my limits or show who's best, but climbing harder and harder routes makes it more fun."
Sebastian Stan,"I specifically remember doing the musical 'Sweet Charity' at Stagedoor. I was playing Vittorio Vidal, which is a very funny part, and some other small roles. I couldn't really sing that well, but there were so many fun bits, and I just remember the tremendous adrenaline rush I felt from being onstage and hearing the audience enjoying it."
Alan Perlis,"It goes against the grain of modern education to teach students to program. What fun is there to making plans, acquiring discipline, organizing thoughts, devoting attention to detail, and learning to be self critical."
Margot Kidder,I love horror movies because they're really fun. They tap into those wonderful primal emotions.
Howlin' Wolf,I just play blues for fun.
Ellen DeGeneres,It's our challenges and obstacles that give us layers of depth and make us interesting. Are they fun when they happen? No. But they are what make us unique. And that's what I know for sure... I think.
Ben Affleck,I'm not the type of guy who enjoys one-night stands. It leaves me feeling very empty and cynical. It's not even fun sexually. I need to feel something for the woman and entertain the vain hope that it may lead to a relationship.
Simone Biles,Always work hard and have fun in what you do because I think that's when you're more successful. You have to choose to do it.
Ellen Datlow,"Horror isn't only about ghosts or monsters. For example, paranormal romance seems the antithesis of horror. Once you have a sexy, fun vampire who is sweet, and you have a happy ending, it's not horror."
William Feather,Setting a good example for your children takes all the fun out of middle age.
Abhijit Banerjee,One great pleasure of being an academic is the ability to trade in ideas with your colleagues and students; it is not much fun being the only connoisseur of some fine point.
Rima Fakih,"I went out with some old friends and we were having fun. A couple of them were very intoxicated. When I went to leave, I refused to let them drive. So when I got pulled over, I was the driver."
Sophie Turner,"You've got to be happy when you play a sad character; otherwise, you just get depressed. Make your real life as fun as possible."
Dr. Dre,"I had fun doing it, but acting ain't really my thing. I am more of a production/director type. I would rather be behind the scenes and organizing and putting things together like that."
Bob Newhart,"I think you should be a child for as long as you can. I have been successful for 74 years being able to do that. Don't rush into adulthood, it isn't all that much fun."
Lina Wertmuller,"When I was a girl, we all wanted to have fun. That's all we thought about. It didn't occur to us to get married and have babies."
Molly Ivins,"All anyone needs to enjoy the state legislature is a strong stomach and a complete insensitivity to the needs of the people. As long as you don't think about what that peculiar body should be doing and what it actually is doing to the quality of life in Texas, then it's all marvelous fun."
Valerie June,"My number one style requirement is to have fun getting dressed. Nothing is too old, expensive, cheap, cute or ugly for me."
Maurizio Sarri,"London is a wonderful city, but I am here for Chelsea. It's 100 per cent hard work, 90 per cent fun."
Dave Chappelle,I don't want the money. I don't want the drama. I just want to do my show. I want to have fun again.
Ari Shaffir,"Marc Maron yells at people. I have a memory of him yelling at Jonah Ray from offstage about something he was saying, just fun stuff."
Gil Scott-Heron,"If you aren't having no fun, die, because you're running a worthless program, far as I'm concerned."
Richard Rogers,You have to modernise; you have to change - you can't just be traditional for the fun of being traditional.
Behati Prinsloo,I think every girl has a little bit of rebellion inside. It's always fun to not follow every trend and not be the perfect good girl. It's edgy to be a little rebellious.
N'Golo Kante,My team-mates at Chelsea have told me about the 'Kante-facts.' It is just a bit of fun. I obviously do not cover 30 per cent of the surface of the earth.
Pico Iyer,Nearly everybody I know does something to try to remove herself to clear her head and to have enough time and space to think... All of us instinctively feel that something inside us is crying out for more spaciousness and stillness to offset the exhilarations of this movement and the fun and diversion of the modern world.
Jeffrey Deitch,"I believe that an art exhibition can be engaging, fun and deeply intellectually satisfying and serious. These are not contradictory concepts in art."
Estelle,Collaboration is the way to go. It's very timely and fun to do.
Judd Apatow,College is the reward for surviving high school. Most people have great fun stories from college and nightmare stories from high school.
Ric Flair,"For me, it's about camaraderie. My whole life is like, if something's going on, nothing ever preceded fun. I always put my friends and the fun and the business ahead of everything."
Nate Diaz,I don't come and fight for fun. I don't do that. I don't like to hurt people for fun.
Mike Davidson,Writing old school HTML code was never very much fun but now it's getting downright tedious for most people.
Michelle Pfeiffer,My walk is consistently made fun of.
Buddy Hackett,"Golf is more fun than walking naked in a strange place, but not much."
Brene Brown,"If I feel good about my parenting, I have no interest in judging other people's choices. If I feel good about my body, I don't go around making fun of other people's weight or appearance. We're hard on each other because we're using each other as a launching pad out of our own perceived deficiency."
Betty White,"I was an only child and I had a mother and father who were just - there wasn't a straight man in the house, and I mean that in a very nice way. They were fun, and we would laugh a lot."
Ginger Rogers,"Sure, jets are fast and economical, but, oh my, what fun we've lost and what leisure we've sacrificed in the race to efficiency. Somehow, stepping onto a plane and zooming across the United States in a matter of hours doesn't hold a candle to the dear, old-fashioned train ride."
Derek Jeter,"You're playing a game, whether it's Little League or Game 7 of the Word Series. It's impossible to do well unless you're having a good time. People talk about pressure. Yeah, there's pressure. But I just look at it as fun."
W. Edwards Deming,The prevailing system of management has crushed fun out of the workplace.
Sandra Dee,"My first year and a half in Hollywood, I did three films. Then in 1959, I was in 'Gidget,' 'Imitation of Life' and 'A Summer Place.' After that, I was a star. It was fun."
Judy Norton,I'm an impromptu cook. It's fun if it doesn't take too much time!
Tyra Banks,"I have a big forehead, and I got made fun of all time. When I was a little girl, they used to call me 'five-head.'"
Marco Pierre White,"Rudeness is not having fun, and if it is, it's at the expense of another person."
Octavia E. Butler,"People who think about time travel stories sometimes think that going back in time would be fun because you would have all the information you needed to be much more astute than the people there, when the truth is of course you wouldn't."
Richard P. Feynman,"You're unlikely to discover something new without a lot of practice on old stuff, but further, you should get a heck of a lot of fun out of working out funny relations and interesting things."
Vikrant Massey,"'Rise' is a fun web series but one that tackles the practical realities of our lives. It is a story that most of us experience in some or the other form, and that is what got me excited about the story."
Russell Baker,"Newspaper people, once celebrated as founts of ribald humor and uncouth fun, have of late lost all their gaiety, and small wonder."
Masahiro Sakurai,Game development is very difficult. Nobody sets out to create a game that's not fun. It's all of the challenges and difficulties that happen throughout development that determine whether a game is a failure or a success. I think playing those thousands of games is the single best and easiest way to learn from my predecessors.
Roger Penrose,Science and fun cannot be separated.
Kesha,I'm really fun. I'm ridiculously fun. I hope I'm infectiously fun.
Hannah Murray,Turns out you have a really fun time if you go to work every day and focus on being silly and funny and happy!
Johnny Depp,"I did do a film that I refer to as 'The Unpronounceable' by a guy named Yvan Attal with Charlotte Gainsbourg. I had a bit part in there. That was quite fun, doing scenes in French."
James Thurber,"The dog has got more fun out of Man than Man has got out of the dog, for the clearly demonstrable reason that Man is the more laughable of the two animals."
Harry Anderson,It's an old Elizabethan idea. The fool is the only one who is allowed to make fun of the king because he is a fool. I can say whatever I want about anybody else because I'm just an idiot talking - I'm not insisting that I'm any smarter than anyone else. It's satire.
Alex Jones,"The globalists are smart and tell us sin is fun, sin is a red-devil cheerleader."
Kevin Nealon,I loved working on 'Happy Gilmore' because I love to travel to new places and we got to go to British Columbia. Any Adam Sandler film is fun to work on because it is a reunion of the boys club of guys that have worked together in the past.
Jennifer Coolidge,"I live in New Orleans part of the year, and it's a really fun eating town. I bought two homes there, one to live in and one as an investment. They love to eat, drink and dress up in costumes. There are so many reasons to dress up - Mardi Gras, Halloween, Southern Decadence."
Alan Thicke,Fitness needs to be perceived as fun and games or we subconsciously avoid it.
Joe Rogan,"Stand-up is still my favorite, but the podcast is a close second. It's so fun, and it's given me the opportunity to have three-hour conversations with people I wouldn't have otherwise been able to talk to. When I talked to Maynard Keenan from Tool, I almost couldn't believe it was happening."
Mike Rowe,"I can say the willingness to get dirty has always defined us as an nation, and it's a hallmark of hard work and a hallmark of fun, and dirt is not the enemy."
Val Kilmer,It's the persona that makes you a leading actor. A leading actor has something extra that's fun to watch. But it isn't usually about acting.
Dion DiMucci,"I tell you, gospel music is very uplifting. It's great. It's just a lot of fun to write, and it's wonderful for the heart, soul, mind, and spirit. It's just great."
George Eads,"I have a Lab, it's fun to hang out and hike with the dog, people come up to him, and pet him, it's fun."
Jerry Della Femina,I honestly believe that advertising is the most fun you can have with your clothes on.
Ernie Johnson Jr.,It's fun to go to a job where you know you're going to laugh before the day is over.
Robert Fulghum,"Any fool can make enough money to survive. It's another thing to keep yourself consistently entertained. It's a lot of work, and a lot of fun, to make a life."
Barrett Wilbert Weed,"My senior year, I got to play Maureen in 'Rent,' and I had more fun than I'd ever had in my life."
Nani,'Pilla Zamindar' is a fun film. I enjoyed working in it.
Sam Allardyce,The bonding of the team is exceptionally important and trying to create a good team spirit and to have some fun.
Patrick Carney,"The Midwest breeds funny, eccentric people, to varying degrees. You play shows not because you're expecting to get a record deal, but to do something fun outside of mowing lawns. Everything else is just gravy... Or mustard."
Wendy Williams,"People love to throw stones at me, and I get it. It's fun to make fun of me, because I put myself out there. I'm a large personality, and I got the funny bone; I voice my opinion, and then people get upset."
CC Sabathia,"I remember one time in my junior year, in my art class, our teacher had us doing, like, finger paints, and I went and put a stripe on a girl's shirt, and it turned into a big paint fight. Paint all over the walls, all over everybody. It was pretty fun."
Dylan O'Brien,"I just really like fun, cool, interesting, quirky girls. And sometimes you find that in 6'2 model bodies and sometimes they're short and brunette. All shapes and sizes - it's really about the personality. That sounds cliche, but it's so freaking true!"
Syd Barrett,I think young people should have a lot of fun. But I never seem to have any.
Greg Kinnear,"There's times when I'll see a show, or something cooking on TV, and think, 'That can really be fun when it's working.' But it's a grind. I did that at NBC, it was five days a week. I was doing 'Talk Soup' and 'Later' at the same time. It's a hard job, more difficult than people realize."
LeToya Luckett,"As far as my personality, my friends and family know I'm crazy! I love to have fun; I'm bubbly. People say I'm funny but I don't know that I'm funny: I don't try to be funny and tell jokes and stuff like that, but I always got something slick to say."
Saina Nehwal,"Unlike most youngsters who have school as their 'second home' where they meet and make friends, for me playtime has been at the Gopichand Badminton Academy in Hyderabad. When I am not playing a tournament, my days are spent at the Academy with my coaches, physiotherapists and colleagues, who are like family. We laugh and have so much fun."
Rick Nielsen,Playing it safe isn't fun; you have to take a chance.
Zach Galifianakis,"Comedians paint ourselves into corners all the time, and tastes in comedy change. The guy in 'The Hangover' was a really fun character to do, and it was easy to do. But you have to find other things because audiences will let you do that for a little bit, and then they're like, 'What else do you have for us, monkey?'"
Jane Birkin,"When you start recognising that you're having fun, life can be delightful."
Robson Green,"Im in the last third of my life, all right, and I just want to have fun. I want to do things that make me genuinely happy, and Grantchester is a happy place, it really is."
Inbar Lavi,It's never fun when you trust someone and that trust is betrayed.
Geoff Johns,"I am always a sucker for the underdogs. I love Batman and Superman, but when it comes to the guys who don't stand in the front of the line, Aquaman is one of the key guys for me. He's so much fun to work on."
Sylvester Stallone,"Every morning, I crawl out of bed. I sit there and think, 'Do I really need this?' And I drag myself to the gym in my garage. It's not fun. I hate it. I work out alone. Weights."
Steve Garvey,"I used to look like an American flag. The Padre uniform makes me look like a taco. Actually, the transition has been great. I've made 25 new friends, and I never thought I wanted to be anything other than a Dodger, but this is fun."
Donatella Versace,Fashion is all about happiness. It's fun. It's important. But it's not medicine.
Kapil Dev,"If your work becomes a source of enjoyment and a challenge, it will never seem like work - it will be fun. If you ever feel that your work is a burden, there is no point carrying on with it."
Bruce Cockburn,"It sounds strange to say it, but you can be in a war zone and have a lot of fun. Even though war is essentially pain on all sides, human beings have the capacity to enjoy themselves. The soldiers are mostly young people, full of enthusiasm and energy, and that's an exciting thing for an old guy like me."
Christina Aguilera,I have fun being sexy and tough at the same time.
Armistead Maupin,"Like I've always said, love wouldn't be blind if the braille weren't so damned much fun."
Ryan Gosling,"I think about death a lot, like I think we all do. I don't think of suicide as an option, but as fun. It's an interesting idea that you can control how you go. It's this thing that's looming, and you can control it."
Lucy Punch,"People ask why I always play crazy people and free spirits. I guess it is because I like to have fun. But I am more ambitious than your average free spirit. This job is hard enough that, without drive and hard work, you will never make it work."
Rajiv Ouseph,"What we do is nothing like the portrayal of badminton as a gentle game played in a church hall. Badminton can be fun and relaxing, but as professionals, this sport is our heart and soul and passion, and our games are fast and aggressive."
Yoko Ono,"One day, the dance charts will be the biggest chart in the music world. Because we all need to dance. This planet will be a fun planet when the judges in court will end the day with a dance!"
Gary Cherone,"It was fun while it lasted, but it never seemed real to me. I could not believe I was in Van Halen."
Ron Francis,It was a fun ride. I've enjoyed my time on the ice and I've enjoyed more and more people getting interested in the game of hockey.
Kamisese Mara,"The family teaches us about the importance of knowledge, education, hard work and effort. It teaches us about enjoying ourselves, having fun, keeping fit and healthy."
Max Lucado,"I was raised in the greatest of homes... just a really great dad, and I miss him so much... he was a good man, a real simple man... Very faithful, always loved my mom, always provided for the kids, and just a lot of fun."
Thomas Rhett,I rap on 'Front Porch Junkies' and 'Whatcha Got in that Cup.' I try to channel my inner Lil Wayne and Drake. It's fun to be able to freestyle over a country melody and say country words over a rap song.
Kellan Lutz,I'm really into extreme sports and just having fun.
Stephen Sondheim,I have inherited my father's sense of humour about myself. It's a lot more pleasant to make fun of yourself than when someone else does.
Brie Larson,"My first acting gig was a skit for Jay Leno on 'The Tonight Show.' It was this Barbie commercial where I got to pour mud all over Barbie dolls and watch the heads pop off. It was so exciting, a lot of fun."
Fabio Lanzoni,"Life is short, and you have to have fun with it, you know?"
Grace VanderWaal,"My advice for someone just learning the ukulele would be to have fun with it and not take anything too seriously. Some songs that I think are great for beginners would be, 'House of Gold,' 'Riptide,' and 'I Don't Know My Name.'"
Pam Grier,It's always fun to put on bell bottoms and have your butt hanging out and hip huggers.
Michael Jordan,"In any investment, you expect to have fun and make money."
Ben Shapiro,"In actuality, California could be a wonderful place to live. In fact, if you're highly educated and ambitious, you can do quite well here while enjoying the sun and the fun. The only problem: California will then blame you for your success and recommend that all your cash be removed from you."
Travis Scott,Raging and having good feelings and having fun is something I plan on doing and spreading across the world. I just need air and a mic.
Jo Brand,"I used to do bell ringing in Benenden church. It was really good fun, actually. My best friend's dad was the local vicar, and so it was expected as her best friend that I would go to church every Sunday with her."
ContraPoints,"I carry with me from my male upbringing a sense that femininity is forbidden. So when I appear on YouTube with forty butterflies glued to my body and glitter all over my face, I have a sense that I'm getting away with something I'm not supposed to. I'm being decadent. I'm enjoying a forbidden pleasure. And that's fun, and it's funny."
Nia Jax,"On 'Raw,' I'm more of a strong, silent type because I don't need to talk it up because I can back it up. But on 'Total Divas,' it's definitely different, because I'm unapologetically myself. I speak my mind, I'm goofy, and I like to have fun."
Randy Pausch,"I am going to keep having fun every day I have left, because there is no other way of life. You just have to decide whether you are a Tigger or an Eeyore."
Burt Rutan,"We need affordable space travel to inspire our youth, to let them know that they can experience their dreams, can set significant goals and be in a position to lead all of us to future progress in exploration, discovery and fun. Thanks to the X Prize for the inspiration."
Peter Tork,"Oh, the most fun thing I've ever been asked to autograph was breasts."
Chris Eigeman,"After my first movie was released, my wife and I went Bouley. A fantastic meal. The whole thing, getting dressed up, acting very adult-y, a lot of fun."
Melissa Ordway,"In real life, I have mostly gone for nice guys. I definitely had a phase where I was like, ""Oh, the bad guy is really cool."" It's fun to be bad for a while, and then that ended really terribly - one piece of advice I'll give to people is your mom is always right."
Astro,"It's always been fun for me to play somebody else. I did drama class when I was younger. It kind of just happened. I never said, 'I want to act.' I just auditioned for the role, I got it. I was blessed with this opportunity to be in 'Earth to Echo.' It's fun for me; it's cool to do."
Mary-Kate Olsen,I like to go to parties where I know everyone. How are you going to have fun with people you don't know?
Harry Styles,"I'm an 18-year-old boy, and I'm having fun. I'm just not having as much fun as people make out."
Leigh Bardugo,"Sturmhond, a privateer from the second book in the series, Siege and Storm,' is probably my favorite character. He's pure confidence and that's always fun to write."
Matt Lanter,"I want someone that I can have fun with and laugh with. I love to laugh, and I'm really sarcastic, so it's important that she can take a joke. I think if you are going to be with someone for a while, you really need someone you can let loose with and let go of all the stress of the day."
Twiggy,Fashion should be stylish and fun.
Demba Ba,"My former agent introduced me to darts by saying it was a game that would be a lot of fun. He knew I had to concentrate on hitting three 20s or a double or a treble - as this is a target you must achieve. Your mind is focused on accuracy. And it's the same in football, where I must strike the ball just to the right or left of a post."
Clint Eastwood,It's much more fun to play something you're nothing like than what you are... It's much easier to hide yourself in a character.
Ayushmann Khurrana,"Lots of people expect 'Andhadhun' to be a dark film, given it's from Sriram Raghavan. But this film is fun, entertaining, thrilling, and while it has moments of darkness, overall it's not a dark film."
Lewis Hamilton,"Generally, I hate training - just like most people, I guess. I try to make it fun and varied."
Naomi Alderman,"The species will continue, whatever apocalypse we manage to unleash. It just won't be much fun to live through."
Barbara Corcoran,"I built the business exactly the way my mother built and ran her family. I wanted a replication of the big, happy family I grew up in. I wanted happy people having fun."
Alain Prost,"You want to have fun but you also want to work well. Sometimes I was quite happy at Ferrari, because we would have fun, but then they could not stop having fun and go back to the real work."
Joan Cusack,"I think just because life is hard, it does seem fun to have a break and laugh about things, so I think in the end, my instincts go there."
Kevin O'Leary,"I'm starting to think about things that I want to do, things that are fun. One of them is driving a car like a Porsche. I've driven a lot of cars - sedans, trucks and big family vehicles all year long. But there's nothing like a four-wheel-drive Porsche."
PewDiePie,"Everyone has played video games at some point these days, and video games are fun."
Glenn Howerton,"I take my work very seriously, and that's the only way for it to be fun for me."
Molly Ivins,"Keep fighting for freedom and justice, beloveds, but don't forget to have fun doin' it. Lord, let your laughter ring forth. Be outrageous, ridicule the fraidy-cats, rejoice in all the oddities that freedom can produce."
V. E. Schwab,"I am a firm believer that a good plot makes for a fun enough read, but it's not what binds us. If we don't care about the characters, we won't care - not in a lasting way - about what's happening to them."
Vanity,"Boy, it is not fun suffering in this body of weak flesh, but Jesus is straightening out all my crooked places."
Billy Gardell,"Everybody wants to be a better version of themselves - everybody. And I hope one day I can lose some weight. Maybe, who knows, I'll hire myself a trainer and a fancy cook. In five years, maybe I'll be an action hero. Then again, maybe I'll just be this guy. Who knows? But the fun part is embracing the human side of that."
Haylie Duff,"The truth is, the reason why a party is fun is because you are enjoying the people you are with. It doest have much to do with the decor or what you wear... It's really just about being with each other and spending special time together."
Kaley Cuoco,"I did a movie called 'Quicksand No Escape' with Donald Sutherland and Tim Matheson. I think I was maybe 5. I was really little. Yeah, it was fun. And actually, Felicity Huffman played my mom."
Rebecca Sugar,"I admire 'Adventure Time' for being a piece of art in the way that I think art should be. If you want to see it is poetry, you can, and if you don't, you can watch a fun cartoon."
Ariana Grande,"Dancing in high heels is kind of tough. I learn the dances without the heels, and then we add them. We just practice, and I get used to it. My feet hurt really badly at the end of the shows, but it's fun. While it's happening it's fun. I feel tall."
Laurie Holden,"It's a fun thing to do: Go to a shooting range with a buddy, knock off a few rounds, release stress."
John Cusack,"Texas women have an amazing sense of purpose when they lose it. They're the best girls in the world - they're loyal and fun, but when they get mad, they'll try to kill you."
Khalid,"Once you're comfortable with the way that you're dressing, you express yourself a lot more, and you're just able to have a lot more fun."
Bernard Arnault,"I deal with creativity all the time. What I have fun with is trying to transform creativity into business reality all over the world. To do this, you have to be connected to innovators and designers but also make their ideas livable and concrete."
Bill Bailey,"If you're going to perform, you're going to attract criticism. You can't please everyone all the time. You don't know how things are going to come out. But that's part of the fun of it, the adventure of doing any kind of art."
Bubba Watson,"My dad taught me to be a leader or a follower, and he said follower ain't fun. So I want to be the leader of Bubba Watson."
Stacey Snider,"For 'Fright Night,' we really want to convey the fun attitude of the movie and show the intensity of Colin Farrell as a predator. He's not a brooding vampire - he's dark and dangerous."
Julia Stiles,"We didn't have a backyard, so as I child, I would turn the coffee table into a stage and put on shows. But it was just a fun thing to do; I never thought about it as a profession. That started as a fluke; my mother had a friend who was an artist with a theater company, and I started going there after school because my mom knew I'd be safe."
Kim Cattrall,I did a school play when I was 10 where I played a cold germ infecting a whole classroom of kids. The play was called 'Piffle It's Only a Sniffle.' I'd never had so much fun. It was a thrill.
Rob Pike,Go is an attempt to combine the safety and performance of statically typed languages with the convenience and fun of dynamically typed interpretative languages.
Freddie Mercury,"I have fun with my clothes onstage; it's not a concert you're seeing, it's a fashion show."
Anna Kendrick,"It would be fun to be a redhead... you can get away with being, like, really volatile and fire-y because you're like, 'I'm just a redhead; what can I say?'"
Joe Biden,"You never make fun of anybody with a club foot or a withered arm, but it's open season on anybody who stutters."
Johnny Weir,"I still have so much passion to perform... That's who Johnny Weir is: I'm a figure skater, I'm an athlete. I want to have fun and enjoy it."
Bindi Irwin,"We literally live right in the middle of the zoo, and it means that every day is a new experience and so much fun."
