author,quote
Ma Long,I'm extremely happy that I could win the gold medal. It's a special moment in my career.
Patsy Kensit,"I am a happy person and I choose to be a positive person. I think some people think my life has been tragic and there have been these horrible dramas but things really have been, and are, fine."
Bianca Balti,"My definition of beauty is happiness. I believe that when you are happy, it shines through and makes you a more attractive and beautiful person!"
Bruce Forsyth,"The secret to a happy marriage is if you can be at peace with someone within four walls, if you are content because the one you love is near to you, either upstairs or downstairs, or in the same room, and you feel that warmth that you don't find very often, then that is what love is all about."
Charlotte Kasl,A life-long blessing for children is to fill them with warm memories of times together. Happy memories become treasures in the heart to pull out on the tough days of adulthood.
Andy Warhol,I'm the type who'd be happy not going anywhere as long as I was sure I knew exactly what was happening at the places I wasn't going to. I'm the type who'd like to sit home and watch every party that I'm invited to on a monitor in my bedroom.
Helen Rowland,To be happy with a man you must understand him a lot and love him a little. To be happy with a woman you must love her a lot and not try to understand her at all.
James Monroe,"If we look to the history of other nations, ancient or modern, we find no example of a growth so rapid, so gigantic, of a people so prosperous and happy."
Katherine Jenkins,"When I dance, I forget everything else and just feel completely happy."
Olivia Newton-John,"You never know what the future holds, so I am just enjoying being happy, healthy, and having my wonderful husband by my side."
Herb Kelleher,"Your employees come first. And if you treat your employees right, guess what? Your customers come back, and that makes your shareholders happy. Start with employees and the rest follows from that."
Walter Savage Landor,We are no longer happy so soon as we wish to be happier.
George Clooney,"I don't believe in happy endings, but I do believe in happy travels, because ultimately, you die at a very young age, or you live long enough to watch your friends die. It's a mean thing, life."
Roger Ebert,"To make others less happy is a crime. To make ourselves unhappy is where all crime starts. We must try to contribute joy to the world. That is true no matter what our problems, our health, our circumstances. We must try. I didn't always know this, and am happy I lived long enough to find it out."
Rebecca Wells,"Flowers heal me. Tulips make me happy. I keep myself surrounded by them as soon as they start coming to the island from Canada, and after that when they come from the fields in La Connor, not far from where I live."
Robert Herrick,It takes great wit and interest and energy to be happy. The pursuit of happiness is a great activity. One must be open and alive. It is the greatest feat man has to accomplish.
Brooke Shields,"Don't waste a minute not being happy. If one window closes, run to the next window- or break down a door."
Samuel Taylor Coleridge,The most happy marriage I can picture or imagine to myself would be the union of a deaf man to a blind woman.
Coretta Scott King,I'm fulfilled in what I do. I never thought that a lot of money or fine clothes - the finer things of life - would make you happy. My concept of happiness is to be filled in a spiritual sense.
David Lynch,"Happy accidents are real gifts, and they can open the door to a future that didn't even exist. It's kind of nice sometimes to set up something to encourage or allow happy accidents to happen."
Roy Ayers,I don't trip on that much. I just like to enjoy life and be happy.
Marshall McLuhan,"Politics will eventually be replaced by imagery. The politician will be only too happy to abdicate in favor of his image, because the image will be much more powerful than he could ever be."
Sean O'Casey,Money does not make you happy but it quiets the nerves.
Kinky Friedman,A happy childhood... is the worst possible preparation for life.
Gary Vaynerchuk,"People are chasing cash, not happiness. When you chase money, you're going to lose. You're just going to. Even if you get the money, you're not going to be happy."
Sandra Bullock,"I think most of us are raised with preconceived notions of the choices we're supposed to make. We waste so much time making decisions based on someone else's idea of our happiness - what will make you a good citizen or a good wife or daughter or actress. Nobody says, 'Just be happy - go be a cobbler or go live with goats.'"
Ellen DeGeneres,"We focus so much on our differences, and that is creating, I think, a lot of chaos and negativity and bullying in the world. And I think if everybody focused on what we all have in common - which is - we all want to be happy."
Joyce Giraud,"With me, what you see is what you get. Yes, call me naive, but I love life. I am happy, and for that, I make no apologies. I do like to see the best in people, and when someone is nice to my face, I tend to believe them."
Lillie Langtry,"Anyone's life truly lived consists of work, sunshine, exercise, soap, plenty of fresh air, and a happy contented spirit."
Cristiano Ronaldo,"I'm proud to play for Real Madrid because I have fun; when you no longer have fun it's a sign that it's time to leave. For now though, I'm happy here at the greatest club in the world."
Corbin Bleu,"I'm a very outgoing person. I'm always happy, I'm one of those people who are always smiling. If somebody described me to somebody else, they'd say the kid with the curly hair with the big smile on his face. I get along with everybody."
RM,"They say people live to be happy. If you actually think about what happiness is, it's nothing much. When you get to eat ramen after feeling really, really hungry, that's happiness."
Lillian Gish,"A happy life is one spent in learning, earning, and yearning."
Mickey Rooney,"All I want is to live a peaceful life, to regain my life and be happy."
Steve Harvey,"When you're happy at home, you can make a lot of things happen."
Paul Klee,"Color possesses me. I don't have to pursue it. It will possess me always, I know it. That is the meaning of this happy hour: Color and I are one. I am a painter."
Joan Kirner,I was very happy being education minister and deputy to John Cain.
John Dryden,"Happy the man, and happy he alone, he who can call today his own; he who, secure within, can say, tomorrow do thy worst, for I have lived today."
Caroline Rhea,Don't compare yourself with someone else's version of happy or thin. Accepting yourself burns the most calories.
Shweta Basu Prasad,"Human mind has way too many shades. It would be so boring if this world was all sugar and gloss, just happy, colourful lives. People singing songs is not always the reality. Just like happiness and love, people also feel wrath, jealousy and vengeance!"
Rita Wilson,"Performing live actually thrills me. Just get me a stage, get me a mic, and I'm going to be happy."
Robert Kiyosaki,Most people are happy being average. Most are happy being faceless in a sea of faces.
Nico Mirallegro,"I'm definitely a morning person. I wake up dead happy, looking forward to having my cereal!"
Ann Landers,Sensual pleasures have the fleeting brilliance of a comet; a happy marriage has the tranquillity of a lovely sunset.
Jon Favreau,"I like happy endings in movies. I think life has a happy ending. When it's all said and done, it's all something worthwhile, and I want my movies to reflect that. There are enough things to be sad about. When you pop in a movie, let the message be one that's one of hope."
Lamar Jackson,Be happy. God gave you a breath to breathe every day. You don't need to be mad about nothin'.
Liz Phair,"I'm really happy to be a mom, and I'm proud of the phase I'm in."
Tiesto,Trance is a very emotional and uplifting form of dance music. It appeals to many people in this way having such a strong connection with emotions. It makes people happy and ready to party.
Vikrant Massey,"It feels really grateful, thankful, and happy when your work is appreciated."
Arjun Kapoor,"Every morning when I wake up, I am grateful and happy that I come to the film set. It is home."
Tina Fey,Being a mom has made me so tired. And so happy.
Jean-Paul Sartre,Acting is happy agony.
Ella Woodward,The most important thing is to snack on things that are filled with real food and nourishing ingredients that will leave you feeling energised and happy.
Mitski,"I don't think I'm alone in this: I'm obsessed with trying to not only be happy but maintain happiness, but my definition of happiness is skewed more towards ecstasy rather than contentment."
Ally Sheedy,"My experiences have taught me a lot and I'm happy with my learnings, if not with what I went through to learn."
Aristotle,"For one swallow does not make a summer, nor does one day; and so too one day, or a short time, does not make a man blessed and happy."
Kim Jong-un,Construction is an important front for solidifying the foundations of a thriving country and creating bases for the people's happy life.
Alexander Pope,"Happy the man whose wish and care a few paternal acres bound, content to breathe his native air in his own ground."
Lucille Ball,"It's a helluva start, being able to recognize what makes you happy."
Edith Wharton,If only we'd stop trying to be happy we'd have a pretty good time.
Hesiod,Happy is the man whom the Muses love: sweet speech flows from his mouth.
Dennis Prager,"Of all the characteristics needed for both a happy and morally decent life, none surpasses gratitude. Grateful people are happier, and grateful people are more morally decent."
Suze Orman,"Happiness is not a luxury. It is a necessity. When we are happy, we are in the best possible place to be good to ourselves and those we love."
Fran Lebowitz,As a teenager you are at the last stage in your life when you will be happy to hear that the phone is for you.
Ayesha Curry,My happy place is my bedroom. I love it.
Marcus Luttrell,"I spend most of my time at the ranch with my family, and enjoy life - watch the sun come up, watch it go down, thank God for another day, and just be happy."
P. G. Wodehouse,Flowers are happy things.
"Mary, Crown Princess of Denmark",I am happy to continue with my journey through time.
James Blunt,"I am very happy to say I look just like my dad. But mothers always think their children are prettier than they really are, and mine has always told me I look like Tom Cruise."
Orson Bean,"Being happy is a revolutionary act; I think it spreads, like ripples in a pond."
Laila Rouass,"I was brought up a Muslim and I respect the religion I was born into, but I don't practise it. However, I do believe in thanking God for my happy life."
Kate Winslet,"By nature, I'm a very positive person, and because I'm happy in myself, and in my life, and I've got a great husband, and beautiful children, and I have a job that I love that calls for a certain amount of emotional expression, I get to realise a lot of my dreams and aspirations."
Dexter Darden,I love to see people laugh and put a smile on peoples' faces. Anytime I'm doing that I'm happy.
Edmund Spenser,"It is the mind that maketh good of ill, that maketh wretch or happy, rich or poor."
Mary Oliver,"We all have a hungry heart, and one of the things we hunger for is happiness. So as much as I possibly could, I stayed where I was happy."
Chris Rock,Only married people understand you can be miserable and happy at the same time.
Cupcakke,"I don't have kids, but in the future, if I ever do, I would want my child to be happy no matter what: gay, lesbian, bi - whatever. To see a smile on my child's face would be the only thing that would matter and keep my blood pumping."
David Geffen,"Anybody who thinks money will make you happy, hasn't got money."
Harshvardhan Rane,"There is never going to be an end point. But definitely, I am happy to complete a certain part of my journey, and that's something I want to celebrate."
Janet Jackson,"I am the baby in the family, and I always will be. I am actually very happy to have that position. But I still get teased. I don't mind that."
Aimee Bender,I like birthday cake. It's so symbolic. It's a tempting symbol to load with something more complicated than just 'Happy birthday!' because it's this emblem of childhood and a happy day.
Idina Menzel,"I can sing 'Happy Birthday' to you in twelve different places, but one of them is going to make you feel a certain thing, maybe it's a vulnerability, maybe an innocence, maybe another way is sexy and soulful or bluesy whatever it is, but with singers, exploring keys, I think, is important."
Ana Ivanovic,"Everyone wants to be happy - people find happiness in different ways. While you want to pursue your career 100 percent, I think it is very hard to give 100 percent in something else. It's important to find this balance, and priorities change throughout life."
Katelyn Ohashi,It's not me standing on the podium with medals. It's me being able to walk out with a smile on my face and truly being happy with myself.
Maeve Binchy,"Happiness is in our own hearts. I have no regrets of anything in the past. I'm totally cheerful and happy, and I think that a lot of your attitude is not in the circumstances you find yourself in, but in the circumstances you make for yourself."
Rohini Nilekani,"As citizens, we have to co-create good governance, we cannot outsource it and hope to be passively happy consumers. Like everything worth its while, good governance must be earned."
Stella Maxwell,"Wellness is associated with happiness. When you're happy, you're feeling good in your mind and body. That ties into being healthy, eating well, and exercising regularly. It also ties into being excited about things - like getting up in the morning and having a healthy breakfast."
Isabel Allende,"I never said I wanted a 'happy' life but an interesting one. From separation and loss, I have learned a lot. I have become strong and resilient, as is the case of almost every human being exposed to life and to the world. We don't even know how strong we are until we are forced to bring that hidden strength forward."
Emiliano Martinez,"When you work hard, you are not going to be happy the whole time, you are going to have frustration, bad times in life."
Dayananda Saraswati,"He is good and wise who always speaks the truth, acts on the dictates of virtue, and tries to make others good and happy."
Amruta Khanvilkar,"I am closest to my mother, as she is my rock, my pillar of strength, and my world. Not only has she stood by me through all times - happy, sad, and otherwise - but there have even been moments when I had completely lost hope, and her immense belief in me had lifted me up."
Muhammad Ali Jinnah,"If we want to make this great State of Pakistan happy and prosperous, we should wholly and solely concentrate on the well-being of the people, and especially of the masses and the poor."
David Hepworth,"Others may recognise their world in 'Eat Sleep Work Repeat'. This podcast is the side project of Bruce Daisley, who works at Twitter. It consists of him talking to experts about what makes us happy at work and why."
Ernie Banks,"You must try to generate happiness within yourself. If you aren't happy in one place, chances are you won't be happy anyplace."
Bipasha Basu,"I want to tell women that you need to love yourself and make yourself a priority. It's only when you are happy yourself, can you make everyone else around you happy. I am still a dreamer and still believe in fairy tales, but there is only that much one should give another person. You need to keep something for yourself."
Sophia Bush,"To be happy, it first takes being comfortable being in your own shoes. The rest can work up from there."
Anne Ford,"Learning disabilities cannot be cured, but they can be treated successfully and children with LD can go on to live happy, successful lives."
Normani Kordei,There's always room for growth. I feel like I'll never get to the point where I'm 100 percent happy with where I am with my career.
Gennady Golovkin,I am very positive. I like to box. I like my life. I am happy every day.
Amanda Hale,"My dad came over from Ireland when he was 13 and lived on the streets, working on building sites, and has just retired from his job delivering furniture for John Lewis. My mum has had the same job for 30 years as a sales assistant at Marks and Spencer. They've always been really great; they just want me to be happy."
Arnold H. Glasow,"Happy is the person who knows what to remember of the past, what to enjoy in the present, and what to plan for in the future."
Astro,"I don't have a desire for material things. As long as I'm happy, I'm good, man."
John James Audubon,"Surrounded by all the members of my dear family, enjoying the affection of numerous friends, who have never abandoned me, and possessing a sufficient share of all that contributes to make life agreeable, I lift my grateful eyes towards the Supreme Being and feel that I am happy."
Jose Jose,Life prepares you so that you are able to create your own happy ending.
Maharishi Mahesh Yogi,Being happy is of the utmost importance. Success in anything is through happiness.
David Walliams,"I had a very happy childhood, but I wasn't that happy a child. I liked being alone and creating characters and voices. I think that's when your creativity is developed, when you're young. I liked the world of the imagination because it was an easy place to go to."
John 5,"I know it sounds corny, but I think the meaning of life is to do what you love and be happy."
Paul Hawken,"Always leave enough time in your life to do something that makes you happy, satisfied, even joyous. That has more of an effect on economic well-being than any other single factor."
Christian Dior,All I required to be happy was friendship and people I could admire.
Nikola Jokic,A point makes you happy; an assist makes you and your teammate happy. An assist makes two people happy.
Brian Wilson,"Summer means happy times and good sunshine. It means going to the beach, going to Disneyland, having fun."
Shawn Kemp,"Trust me, I have had my days where I don't feel great about myself. You have those days where you kind of get down. But for the most part, I have been able to stay focused and happy and use my time wisely."
Olivia Munn,"I think women should start to embrace their age. What's the alternative to getting older? You die. I can't change the day I was born. But I can take care of my skin, my body, my mind, and try to live my life and be happy."
Alan Alda,It isn't necessary to be rich and famous to be happy. It's only necessary to be rich.
Iggy Azalea,"I always say: 'Share your happiness with the world, give other people that happiness and let it come back,' but some things make me question it. I don't know if I want some people to know that I am happy. I think a lot of people want to take it away from you, and that's really scary."
Jerry Jones,"When I look back on my life, I overpaid for my big successes every time. And when I tried to get a bargain, get it a little cheaper or get a better deal on it, I ended up usually either getting it and not happy I got it. Or missing it."
Drew Scott,"It's so important for people to have a space that they love, and that you wake up happy every morning in your house. A big part of that is what you have for your furniture, your art, your decor."
Liv Tyler,"Oh, my God, this amazing cool breeze is coming through my window and the sun is shining. I'm happy."
Kirstin Maldonado,"Success is not defined by money or status, necessarily, but by how many people you've impacted and how fulfilled you feel with your decisions. If you can garner all of these things, then more power and success to you, but all in all, you must feel happy and satisfied with what you personally have put out into the world."
Whitney Wolfe Herd,"Love, friendship, networking - these are all critical connections and the foundation of a healthy, happy life."
Joey Ramone,I enjoyed my life when I had nothing... and kinda like the idea of just being happy with me.
Bette Midler,The worst part of success is to try finding someone who is happy for you.
Pierre Teilhard de Chardin,Being happy is a matter of personal taste.
Skrillex,"I don't care about having money. It's about being happy, man."
Berkeley Breathed,It's never too late to have a happy childhood.
DaBaby,"It's just the risk that I take and the sacrifice that I make: Putting myself, my career, my family's peace of mind on the line just to do right by my fans. It ain't no gray area: You're either with that and willing to go out of your way to make people who contribute to your dreams coming true happy or you aren't."
Lilly Singh,In my life I've gone through a lot of really hard times. I went through depression and had so many challenges that I overcame. And I overcame because I just decided to be happy.
Drew McIntyre,"I am happy to do anything that comes my way, and I will always do my best in anything that presents itself."
Ewan McGregor,"Producing good stuff can be quite tough, and it involves a lot of frustration, but I always like things to be jolly and happy, and I forget that's actually not the point at the end of the day."
Rohit Sharma,I am happy with the way I hit the ball. There is a certain element of power into it but not completely. It is like 80 per cent timing and 20 per cent power. Why do I need power hitting when I can clear the ropes with timing?
Rachel Morrison,Photography was a way for me to freeze time and to capture the moments that were happy and healthy. I saw a photo as a way to go back to a memory if I ever needed to.
Juan Mata,"Obviously, when I play well and win a trophy, I feel happy about myself."
Walt Handelsman,"Be happy that you're growing older, that you're maturing, that you're smarter, that you're wiser."
Kim Petras,"I definitely always took my problems and turned them into music, and the more I can make myself feel happy, the better. But yeah, I definitely feel like music was always a place for me to, like, escape to. I just love songs that are fantasy."
Cory Hardrict,I love helping people; just being of service makes me happy!
Angie Harmon,"I'm the kind of person who wants the people around me to be comfortable, to laugh, and to have a fabulous time - I want them to be as happy as I am."
Jonathan Coe,I'm one of those unlucky people who had a happy childhood.
Gabby Douglas,"You know, God has a plan for me, and I'm going to follow in his footsteps and just rejoice and be happy."
Fred,I'm really happy to be working with Jose Mourinho. He's a great person and he's always keen to communicate with the squad and help people to be communicative regarding what they're to do on the pitch.
Aleksandr Solzhenitsyn,A man is happy so long as he chooses to be happy and nothing can stop him.
Kubra Sait,Smile from your heart; nothing is more beautiful than a woman who is happy to be herself.
Gregory Hines,"My character had been in the chair for seven years. He had gone through his anger, depression, drug and alcohol abuse. He had gone through everything, now he was up, he was happy, he was filled with his dream."
Daisaku Ikeda,A genuinely happy person is one who has rendered others happy.
Karen Salmansohn,"The grass is always greener on the other side - until you get there and see it's AstroTurf. Symbols are never reality. Someone might have amassed material success and fame, but that doesn't mean they're happy. So, don't go judging a person's life by the cover."
Samuel Pepys,"As happy a man as any in the world, for the whole world seems to smile upon me!"
Oneohtrix Point Never,"Before puberty, it seems like I was more or less smiling a lot. I was really outgoing and wanted to have a happy life."
Mac Miller,"My ideology was, if I just make very happy music, very happy music, then people will forget about whatever their problems are. I will forget about my problems."
Tommy Lasorda,"When we win, I'm so happy I eat a lot. When we lose, I'm so depressed, I eat a lot. When we're rained out, I'm so disappointed I eat a lot."
Rolando McClain,"I don't know if I'm ready to know what triggers my anger. I just feel like I figured out on my own how to stay calm, how to enjoy life, how to be happy."
Thucydides,Be convinced that to be happy means to be free and that to be free means to be brave. Therefore do not take lightly the perils of war.
Tommy Chong,"When you hit a groove, it's not you; it's the spirit world. The spirits whisper the ideas in your brain and prod you along. They're the ones that are really happy."
James Allen,"A man is not rightly conditioned until he is a happy, healthy, and prosperous being; and happiness, health, and prosperity are the result of a harmonious adjustment of the inner with the outer of the man with his surroundings."
Buddy Guy,"I've never missed a gig yet. Music makes people happy, and that's why I go on doing it - I like to see everybody smile."
Rico Nasty,I love when people are just naturally happy people.
Sean Covey,"Ultimately, you choose to be happy or miserable. The reality is that although you are free to choose, you can't choose the consequences of your choices. They're preloaded. It's a package deal."
Johann Wolfgang von Goethe,The most happy man is he who knows how to bring into relation the end and beginning of his life.
David Bowie,"It would be my guess that Madonna is not a very happy woman. From my own experience, having gone through persona changes like that, that kind of clawing need to be the center of attention is not a pleasant place to be."
Richard Gere,"People don't understand what happiness is, so they have an idea of what will make them happy, but it never does."
Charles Kingsley,All we need to make us really happy is something to be enthusiastic about.
Graham Greene,"Point me out the happy man and I will point you out either egotism, selfishness, evil - or else an absolute ignorance."
Adele,"I'm really happy to be me, and I'd like to think people like me more because I'm happy with myself and not because I refuse to conform to anything."
Paul J. Meyer,"By forgiving, we are training ourselves to be strong, confident, joyful, peaceful, happy, and loving. These positive attributes end up affecting every part of our lives."
Leon Russell,"I am happy with what comes, I don't have expectations of any stature."
Shoojit Sircar,I am happy that I am back and with a great project like 'Vicky Donor.' I have had a hard time in the past with 'Johnny Mastana' getting stuck but I hope this film brings positiveness into my life.
D. L. Hughley,"No matter how bad things are, you can at least be happy that you woke up this morning."
George Harrison,"In the end, you're trying to find God. That's the result of not being satisfied. And it doesn't matter how much money, or property, or whatever you've got, unless you're happy in your heart, then that's it. And unfortunately, you can never gain perfect happiness unless you've got that state of consciousness that enables that."
Ice T,"Being cool is when you win, you don't get too happy; and when you lose, you don't get too mad."
Steve Wynn,Money doesn't make people happy. People make people happy.
Padma Lakshmi,It doesn't matter how precisely the onion is cut as long as the person chewing it is happy.
James Longstreet,"I hope to live long enough to see my surviving comrades march side by side with the Union veterans along Pennsylvania Avenue, and then I will die happy."
Charles Spurgeon,"A man will speedily sit down and sympathize with a friend's griefs, but if he sees him honored and esteemed, he is apt to regard him as a rival and does not so readily rejoice with him. This ought not to be; without effort, we ought to be happy in our brother's happiness."
Stephane Hessel,"My mother once said to me, 'You must promise to be happy; it is the greatest favour you can do to others'. It has guided me throughout my life."
Huston Smith,"At the center of the religious life is a peculiar kind of joy, the prospect of a happy ending that blossoms from necessarily painful ordeals, the promise of human difficulties embraced and overcome."
Tyga,"I think, whatever makes you happy in life, you gotta do it. You can't plan in life too much."
Shahid Kapoor,I don't think there's anybody in this world who should be required to make you feel good about yourself. Be happy on your own.
Bruce Lipton,"If we could get your subconscious mind to agree with your conscious mind about being happy, that's when your positive thoughts work."
David Hume,He is happy whom circumstances suit his temper; but he Is more excellent who suits his temper to any circumstance.
W. H. Auden,"Like everything which is not the involuntary result of fleeting emotion but the creation of time and will, any marriage, happy or unhappy, is infinitely more interesting than any romance, however passionate."
Joan Jett,"I'm concentrating on staying healthy, having peace, being happy, remembering what is important, taking in nature and animals, spending time reading, trying to understand the universe, where science and the spiritual meet."
Charles Dickens,"Happy, happy Christmas, that can win us back to the delusions of our childhood days, recall to the old man the pleasures of his youth, and transport the traveler back to his own fireside and quiet home!"
Walter Benjamin,To be happy is to be able to become aware of oneself without fright.
Yotam Ottolenghi,"I love my garlic press; in fact, it is probably my one true desert island gadget. But I'm happy to put it aside whenever the smell and sweet taste of slow-cooked garlic is called for."
Billie Joe Armstrong,"No one's really happy anyway, it's not human."
Young Jeezy,"I love the streets, and the streets love me back. And when things ain't going the way they should go, they let you know... and when they happy, you gotta keep 'em happy."
Thomas Jefferson,"If we can but prevent the government from wasting the labours of the people, under the pretence of taking care of them, they must become happy."
Sharon Stone,"I'm enjoying my years, I'm enjoying my life, I'm enjoying my family. I'm just happy - a happy person."
Kid Rock,"I am happy to make money. I want to make more money, make more music, eat Big Macs and drink Budweisers."
Tom Ford,"I am a spiritual person in an eastern religion kind of way. I learned that happiness for all of us is a switch that you flick in your brain. It doesn't have anything to do with getting a new house, a new car, a new girlfriend, or a new pair of shoes. Our culture is very much about that; we are never happy with what we have today."
Dev Anand,"If you are a creative person, then your mind gets sharper with age. My mind is very sharp, and I am happy for that."
Antoine Griezmann,"If I am happy in my personal life, I will be happy in my profession."
Jeff Foxworthy,"I know if mama ain't happy, ain't nobody happy."
Naveen Jain,I am proud of my kids and happy to brag about their achievements. Their success has been an immense source of happiness for me.
Dan Millman,"Act happy, feel happy, be happy, without a reason in the world. Then you can love, and do what you will."
Kelly LeBrock,"Success for me its to raise happy, healthy human beings."
Mikhail Bakunin,"People go to church for the same reasons they go to a tavern: to stupefy themselves, to forget their misery, to imagine themselves, for a few minutes anyway, free and happy."
Lee Hyeon-seo,"Breathing in South Korea, even though the life here is not easy, makes me so happy. I feel that sitting in a coffee shop, having a cup of tea, and looking out of the window at the blue sky - this is happiness. Truly happiness."
Eric Shanteau,Being happy outside the pool means fast swimming in the pool.
Daniel Kahneman,"Experienced happiness refers to your feelings, to how happy you are as you live your life. In contrast, the satisfaction of the remembering self refers to your feelings when you think about your life."
Daniel Boone,"Felicity, the companion of content, is rather found in our own breasts than in the enjoyment of external things; and I firmly believe it requires but a little philosophy to make a man happy in whatever state he is."
Kelsang Gyatso,"The purpose of meditation is to make our mind calm and peaceful. If our mind is peaceful, we will be free from worries and mental discomfort, and so we will experience true happiness. But if our mind is not peaceful, we will find it very difficult to be happy, even if we are living in the very best conditions."
Asin,"I don't wear any masks. If I am happy, you get to see it; if I am angry, then you get to see that also."
Ronald Koeman,If you are a happy man then you can give your best.
Courtney Love,Only dumb people are happy.
Jay-Z,"I collect art, and I drink wine... things that I like that I had never been exposed to. But I never said, 'I'm going to buy art to impress this crowd.' That's just ridiculous to me. I don't live my life like that, because how could you be happy with yourself?"
Mick Foley,Mother Nature and Father Time have not been happy with me.
Sergio Ramos,"I'm a very temperamental person, but when you are wearing the captain's armband for Real Madrid or the national team, it's best to express yourself in a different way. You have to maintain a sense of unity - a good atmosphere where everyone feels happy is one of the keys to success, and that's something you shouldn't lose."
Clara Schumann,I do not want horses or diamonds - I am happy in possessing you.
Gloria Steinem,"Happy or unhappy, families are all mysterious. We have only to imagine how differently we would be described - and will be, after our deaths - by each of the family members who believe they know us."
Leah LaBelle,"I'm very comfortable in my skin. Everyone has insecurities - I joke around about wishing I had more cheeks - but I'm happy with who I am. You have to make do with what you have. If you carry yourself right, you can make anything look good."
Pia Wurtzbach,"If a woman is confident, she believes in herself and is really happy from the inside, you'll see that glow."
Billy Porter,"All you need to do is turn on the news, and in five minutes, you're depressed with the state of the world. Choosing joy is a completely active choice. It doesn't just happen. You can't just say, 'I want to be happy.' You have to take action."
Momina Mustehsan,"Only if you love yourself, only if you're happy with yourself and only if you know your own worth will you ever be happy."
Gavin Rossdale,A happy wife is a happy life.
Manushi Chhillar,My parents have always encouraged me to follow my dreams and do what makes me happy.
Monica Bellucci,"I was very shy as a girl. Absurdly shy, even. Maybe because I was an only child. And I think that's why I'm so happy to have two kids now."
T.I.,"I'm happy to be on a winning team. My individual success, that lasts for a short period of time. The success of being a part of the South, of Atlanta, which is now the hot bed of music, that's what's gonna last the longest. The fact that I contributed to planting our flag and moving music to my city, that's what I'm most proud of."
Francois de La Rochefoucauld,"Before we set our hearts too much upon anything, let us examine how happy they are, who already possess it."
Sunny Deol,"I am happy with my family and my colleagues and want to continue making my own kind of cinema. I have never belonged to any camp and have no friends in the industry. Most of them will pay lip service, but when it comes to doing, they tend to shy away."
Michelle Pfeiffer,"And I'm a really happy person, I enjoy life. I think you see that on people. I think there's nothing more aging than misery."
Canelo Alvarez,"I'm very happy with what I've accomplished, but we're going for more."
Maya Angelou,"Information helps you to see that you're not alone. That there's somebody in Mississippi and somebody in Tokyo who all have wept, who've all longed and lost, who've all been happy. So the library helps you to see, not only that you are not alone, but that you're not really any different from everyone else."
Olivia Colman,"I think a good dollop of sadness is quite a useful thing in comedy sometimes. I think if everyone's happy all the time, it's a bit dull. It's like salt and caramel - you wouldn't imagine they would go well together, but they do."
Kylie Jenner,"I've realized through the years that I just find happiness in other things, whether it's my dogs or my friends or, like, looking at the sunset. So if I were to wish for something else, it would just to be happy all the time, to have a superpower of not letting things affect me, and to be true to who I am, always."
Karolina Kurkova,"Mother Nature made me the way I am, and I should be happy."
Victoria Osteen,"Do good 'cause God wants you to be happy. When you come to church, when you worship Him, you're not doing it for God, really. You're doing it for yourself because that's what makes God happy."
Demetri Martin,"I wrapped my Christmas presents early this year, but I used the wrong paper. See, the paper I used said 'Happy Birthday' on it. I didn't want to waste it so I just wrote 'Jesus' on it."
Samuel Richardson,"Marriage is the highest state of friendship. If happy, it lessens our cares by dividing them, at the same time that it doubles our pleasures by mutual participation."
Dove Cameron,"It's not like you can say, 'This is the right side and this is the wrong side,' because obviously, a happy person is never going to want to inflict pain on somebody else. So the bullies are really victims themselves and yada, yada, yada, pop psychology, but it's true."
Neil Young,It's cool to go places where working people are happy.
Beverly Sills,A happy woman is one who has no cares at all; a cheerful woman is one who has cares but doesn't let them get her down.
Anne-Marie,"When I'm happy and in a good mood, I just search for other things that maybe connect to me on another level. I talk to my friends and see how they're feeling - see what's going on in their lives."
Virgil,Happy the man who has been able to learn the causes of things.
Neil Turok,I'd be perfectly happy with a mathematically precise description of how time began. I see science and religion as being two completely different things. I don't see science as relevant to the question of whether or not there's a God.
Daniel Gilbert,"Your emotions are meant to fluctuate, just like your blood pressure is meant to fluctuate. It's a system that's supposed to move back and forth, between happy and unhappy. That's how the system guides you through the world."
Kendrick Lamar,"I always thought money was something just to make me happy. But I've learned that I feel better being able to help my folks, 'cause we never had nothing. So just to see them excited about my career is more of a blessing than me actually having it for myself."
Jane Krakowski,"My new favourite smell is new baby smell. It makes me so happy. If someone could bottle that, I'd love to have it."
Raheem DeVaughn,"Whenever I am faced with someone spreading negativity in my relationship, I remember the old saying, 'Misery loves company.' I am also reminded to be mindful of the company you keep. Sometimes you cannot see a hater until you are happy. It is then that they demonstrate their negativity."
Mya,"Music makes me love life, and without it, I don't know if I'd be happy."
William Dean Howells,What the American public wants in the theater is a tragedy with a happy ending.
Miranda Hart,"I only really and truly fully relax on my own. Give me a sun lounger, a pool and a sea view, and I'm happy."
Christina Tosi,"As a chef, I got into this because I love the creative energy and I love the science, but I also love to feed people and make them happy."
Vernon Howard,"The fact is, everything we want or yearn for is won through other people. No man on an island is happy; he is merely existing. The joyous life is the one filled with rich relationships."
Gisele Bundchen,"If you are happy, you can give happiness. If you don't love yourself and if you are unhappy with yourself, you can't give anything else but that."
Winona Ryder,I feel my best when I'm happy.
Alexa Bliss,"I like to be sparkly! It makes me happy. I love to stand out and embrace my uniqueness, and I am very lucky I get to incorporate that into my gear. I hope the sparkle and glitter that I spread makes other people happy, too."
Charlie Trotter,Any fool can be happy. What I'm interested in is satisfaction. There's got to be more to life than just being happy. You've got to be fulfilled. You've got to be satisfied; philosophically satisfied is what I mean.
