author,quote
Gabby Douglas,"I wake up at about 9 a.m., and have a few hours of school or time to relax. Then, I have practice at 2:30 p.m. with my team."
Draymond Green,"After a game, I really just relax with the family."
Shaun White,I'm on the road a lot so when I get some time to relax I definitely take advantage.
Chuck Palahniuk,"We're making the same mistakes we made 1,000 years ago. So they must be the right ones. So relax."
Brian Ortega,"What's that song? It says, 'Everything that you do will come back to you in your sweet time?' That's why I still don't relax. Even my coach gets mad at me sometimes. He's like, 'Come on, man - relax.' I go, 'Nah.' I'm always good."
PartyNextDoor,"When I'm home, I try to relax, but I still make music."
Frankie Edgar,"I always tell people, 'The week after your fight is just a very good time.' You get to release, relax, unwind mentally - everything."
Pia Wurtzbach,"I love living in a condo because I don't have worries, relax ka lang and everything is being taken care of."
Limmy,"I'm alright with being disliked rather than trying to be perfect, because you get to relax then."
Barry Sonnenfeld,We should all relax about life because you don't have a clue as to what's really going on.
Fred Armisen,"I have an inability to relax. I try to make every day a work day. I get pleasure from work... I try to think of sketch ideas, stand-up pieces. I am incapable of leisure and leisure time."
Benjamin Cohen,"And although I like to relax and have fun, my passion is my work."
Charles Oakley,"I don't just hop in the car. I have destinations. I drive to relax. I'll be gone for two weeks, hit four or five major cities. I don't like being nowhere for more than two or three days. I just go. I don't have a schedule."
Jenny Packham,"It's funny; in fashion, you can never relax and feel like it's all sorted. Every season, you have to give yourself a challenge and come up with something new and fresh."
Larry Holmes,"I don't really make plans and I just want to be happy and continue with my business and take care of my wife and kids. I want to sit back, relax and enjoy life."
Gene Kelly,I still find it almost impossible to relax for more than one day at a time.
Pascal Siakam,It's easy to relax and get comfortable but you can't be comfortable if you want to be great.
Jahangir Khan,There is a tremendous amount of pressure when you are a world No. 1 with everyone behind you trying to knock you down. But I always believe you should be enjoying the pressure at the top. It is a case of being able to relax and keep playing the game that got you there in the first place.
Jay Williams,"I'm a young-old guy. I go home, I don't need to go out, and I watch TV on my couch and relax, maybe have a cigar here or there. A couple of the coaches tell me, 'You're old school for someone who's young.'"
Richard Rogers,"The Ranelagh Gardens in Chelsea provide plenty of opportunities to walk, think and relax."
Alan Dershowitz,"Ed Koch will never 'rest in peace.' That was not his way. He was always nervously squirming, while making others squirm as well. Comfort was not his goal. He understood that to be a proud and assertive Jew meant never being able to leave a sigh of relief and say, 'It's over, we are at peace, we can now put down our guard and relax.'"
DeMarcus Cousins,"I want my family and myself to be comfortable wherever I am at the time, and just be able to relax and kind of let my hair down."
P. V. Sindhu,"While I am training, I don't go out for events, so rest days, in a way, take away that time. Apart from that, I just stay at home and rest, maybe relax at home and spend time with family."
Jesse Stone,"Fame is a fickle thing that only lasts as long as you can be out there offering yourself to the public. And as soon as you relax for five minutes, they're gone, you know, and they're following somebody else."
Ryan Garcia,"Canelo's a very disciplined guy, but he's very relaxed in the ring. He taught me that there are ways to relax so you won't get hit with certain punches. He showed me that the more relaxed you are, the easier it is to fight your fight by staying put."
Scott Adsit,"The hardest part about improv is getting the audience to relax and enjoy themselves, because most improv is not very good, and the audience is nervous for the performers the whole time. Not that they don't even like the show, but they feel bad for the performers."
Malaika Arora Khan,It's a lot of work to make a marriage work. Just because you have been married for a while doesn't mean you can sit back and relax. You still have to be on your toes. A marriage needs constant attention.
Pendleton Ward,I go to comic shops because I like to just listen to nerds arguing about nerd stuff to relax.
Walter Kerr,"It has an air about it of having strolled in from the street with a few tricks up its sleeve, and if everybody would relax, please, it would do its best to pass the time whimsically."
Alice Oswald,There's a lot of rage in my head. I like the friction that means there is nothing relaxing about writing a poem. I can't afford to relax in any area of life. You have to keep your senses awake to all the complacency that kicks in - particularly for the English.
Candace Cameron Bure,"I figure this is my time - to relax, be with my family and have a normal life."
Joseph Parker,"What I need to do is relax, take my time, and make my shots count. That will give me more energy later in the fights but also allow me to throw the punches harder."
Rudy Gobert,"For years now, I've used gaming to unwind and relax during the season. It's also how I manage to keep up with my friends when I'm on the road."
Freddie Freeman,"It's just so much fun to relax and just play baseball for a living. It's a great time in my life. I'm never going to forget it, and it's very humbling."
Johnny Mathis,"I had stage fright for years and years, and I could hear it in my singing. But since I've done it so often for so many years, you'd think that I'd relax a little bit, and I think that I have."
Carnie Wilson,"I don't know how to relax, that's my problem."
Peter Crouch,"I'll have an omelette, porridge, and fruit for breakfast at the training ground, then chicken, pasta and soup for lunch; then I can relax in the evening."
Tom Odell,There's always a part of my brain saying: 'Stop getting comfortable. Don't relax.' Because I find it difficult to write when I'm happy. I have to go out there and get battered up and bruised to write anything. I have to feel something.
Ted Shackelford,One of the things I was so glad that happened to me on Knots was that I learned to relax.
Ludwig Goransson,"That's important for me, to never just relax and be too comfortable with what you have."
Martin Lawrence,"When I'm playing Big Momma, it's so much work that all I want to do, when I'm finished, is go back home and just relax and study my lines and get ready for the next day."
David Alaba,At home I have a mixing desk that I like playing around on. It's great fun making music myself. And music has always been a very good counterbalance to football for me. It allows me to switch off and relax.
John Hickenlooper,"Secure the border; have an ID system that works. Have a guest worker system. And then, finally, hold businesses accountable. Once you do that, most of the chambers of commerce and those who are clamoring around immigration will take a deep breath and relax."
Travis Fimmel,I wish you could make money and people never saw what you did. Then you could relax and not care about how bad you are.
Shawn Johnson,"I live for Pilates reformer class. I go at least three times a week. It's a great way to lengthen your muscles, stretch, and kind of relax your mind."
Julie Walters,"The way I relax is I think, 'I haven't got anything coming up.' I like to know there are months ahead when I've got nothing."
Caroline Wozniacki,"I like to be with my friends and my family, listen to music and read books. Things like that relax me."
Julie Burchill,"When a man wants to relax, he will slob out and really relax. Or he will pursue a hobby - anything from building models to watching sport."
John Updike,"Golf's ultimate moral instruction directs us to find within ourselves a pivotal center of enjoyment: relax into a rhythm that fits the hills and swales, and play the shot at hand - not the last one, or the next one, but the one at your feet, in the poison ivy, where you put it."
Travis Bradberry,"If you can't relax during your interview, then nothing you do to prepare will matter. Being yourself is essential to the selection process, and interviewers will feel it if you're too nervous. Showing fear or anxiety appears weak compared to a relaxed smile and genuine confidence."
Hilary Farr,Great kitchens are a must-have. A place to relax and cook for friends and family. A gathering place for family of all ages and guests is a staple for me as well.
Juan Mata,"I think every footballer, after 20 years playing football, the first thing that comes to your mind is to relax."
Jackie Kennedy,"I think the best thing I can do is to be a distraction. A husband lives and breathes his work all day long. If he comes home to more table thumping, how can the poor man ever relax?"
Jenny Eclair,"I'm the least spiritual person in the world. I can't even abide a smelly candle. I know it's meant to make me relax, and that immediately makes my hackles rise."
Carl Honore,"To help staff recharge and think better, companies are setting aside quiet places to relax, practise yoga or even take a nap. With hi-tech giants such as Hewlett-Packard and Microsoft underlining the pitfalls of being 'always on,' firms are imposing speed limits on the information superhighway."
Leona Lewis,I really love getting hot stone massages. They really help me relax and it's so soothing for your muscles.
Bill Nighy,I find it hard to relax around any man who's got the second button on his shirt undone.
Roky Erickson,"I have Time Warner, and I try to relax a lot and watch television a lot and everything. I really enjoy that. Listen to the radio."
Alberto Fernandez,"Bolsonaro must relax, I do not plan to shut down the economy. It's silly."
Benicio Del Toro,"When some people get parts, they feel they can now relax, but for me it was always the opposite. Sometimes before I do a movie or before I act out a scene, I may not sleep well the night before. If I don't know what the scene is about, I might get all worked up."
Ashley Cole,"I watch football sometimes at home, but in my downtime, I play pool with my friends. Darts - I enjoy darts now, and when there is a game not coming up, I enjoy playing golf as well. I'm not very good at golf, but I enjoy being able to relax."
Jemima Kirke,I think I did a lot of really stupid stuff really quickly in my twenties and that sort of led me to want to sort of just relax a little bit. Relax a lot.
Andrea Bocelli,"I also always carry my flute. It's very important for me to try to relax when I'm travelling, and playing my flute helps me to unwind."
Rachael Harris,"As much as I don't want to admit it, I really am a people pleaser. If I throw a party at my house, it's hard for me to relax. I'm too obsessed with whether everyone's having a good time."
Rufus Wainwright,"I wish I could just relax sometimes and make some money, but I always feel like I have to prove some kind of big, profound point."
Ken Jennings,I can't relax and sink back in the couch and watch 'Jeopardy!' the way I used to.
Tom Brady,"I'm a pretty casual dresser. At home, it's probably whatever is functional to relax in, whether it's a pair of sweats or a pair of jeans."
Ainsley Harriott,"I'm a warm person and I like people to feel comfortable - if they're comfortable they're going to relax, cook and feel good."
Judd Nelson,I find it very difficult to relax. I find it increasingly difficult to find outlets for my frustration.
Li Ziqi,"In today's society, many people feel stressed. So when they watch my videos at the end of a busy day, I want them to relax and experience something nice, to take away some of their anxiety and stress."
Tig Notaro,"I want people to talk about my comedy, about cancer, about body issues, about scars, because cancer, it's a big deal, but scars are not a big deal. My skin healed. Relax, you know? That's all it is."
Akon,"While I'm here, I'm gonna milk it for all I can, so when I'm no longer hot - and I know that day is coming - I will step over here and enjoy everything I've created up to this point. The music is just opening all these doors, so I can relax."
David Suchet,"I love music, especially classical like Verdi; it's a great way to relax."
Michio Kaku,"When I get bored, or get stuck on an equation, I like to go ice skating, but it makes you forget your problem. Then you can tackle the problem with a fresh new insight. Einstein liked to play the violin to relax. Every physicist likes to have a past time. Mine is ice skating."
Pat McAfee,"For players you don't hear about in the news, they enjoy the hell out of the offseason. They can travel and see things they never thought they'd see, or go back home to relax and see their kids and family that they haven't had a chance to hang out with in a few months."
Terry Rozier,"Once you get comfortable playing hard, a lot of things just go your way. You just relax more, and you feel like you can do a lot of things."
Trey Burke,"Sometimes I relax on defense and not understand I can't do that. Night in and night out, you're playing some of the best point guards in the world. That's something I'm continuing to work on and continue to develop my lower body, get quicker and more explosive."
King Krule,"When I was younger, I used to do that a lot: I would hear a part of a song that would really relax me and then put it on repeat. That would send me to sleep. It was quite obvious classical music, people like Penguin Cafe Orchestra, Erik Satie, Claude Debussy, Maurice Ravel."
May-Britt Moser,"I've trained myself to find time to exercise relaxation of the body. I have these programs - I just listen to the instructions, and they're simple. Sometimes you just hold your hand tight and keep your breath - you hold it, hold it, feel all the tension, and then relax."
Susan Sarandon,Making love is like hitting a baseball. You just gotta relax and concentrate.
Ben Hogan,"Relax? How can anybody relax and play golf? You have to grip the club, don't you?"
Ian Mcewan,"You enter a state of controlled passivity, you relax your grip and accept that even if your declared intention is to justify the ways of God to man, you might end up interesting your readers rather more in Satan."
Frankie Avalon,"I'll be 65 in September and I work as much as I want to, take cruises with Kay, relax with my family, do everything in moderation, because I want to enjoy my life."
Michael Bay,"It's great that I get accused of not being politically correct. People need to take themselves less seriously. This world is so screwed up as it is, we've all got to relax a bit more."
Honor Blackman,"I've travelled around the UK a lot recently and have discovered that I really like trains. If you're in the quiet carriage, nobody can get hold of you and you can relax."
Cathy Freeman,"I feel like I've reached an age where I can relax a little bit with the knowledge of what I've been through, take all that experience and use it. I love the challenge of trying to get back to where I've been, and beyond it."
Dan Simmons,"It's one of the strangest attributes of this profession that when we writers get exhausted writing one thing, we relax by writing another."
Glenn Frey,"It seems when I put together records, as Henley used to say, they're just like movies. They should have action, tension, love scenes, places to relax."
Blair Underwood,"I tell you one of the great things about this movie is, with all that's going on around the world right now, it's just good to go to a movie where you don't have to think too hard, just have a good time, and relax and be crazy."
Twyla Tharp,I learned very early that an audience would relax and look at things differently if they felt they could laugh with you from time to time. There's an energy that comes through the release of tension that is laughter.
Mary Docter,I'm supposed to relax and concentrate on the image of myself out there skating my race.
Dabney Coleman,"I think is very beneficial to relax yourself so that when you are doing it you are not staggering for lines and your concentration is not on what I am going to say - but the scene itself, the character that you are talking to."
Jerry Orbach,"Now I take the summer off, relax, and I know that at the end of July we're gonna start another season."
Taryn Manning,Some people might say I need to learn how to relax.
Todd Solondz,"I don't like telling people where I stand on this, although I'm surprised anybody wonders. I suppose if I say I'm pro-choice, if I make that clear, it let's the audience off the hook, then they can sort of relax. Okay, it's alright he's pro-choice then I can enjoy this."
Larry King,I'm sort of the comic relief after a hard day at work. My message is that it's OK to relax.
Mary Decker,"I've always got such high expectations for myself. I'm aware of them, but I can't relax them."
Greg Lake,"Philosophically, what I have learned is to thy own self be true. That is the biggest lesson of all. Relax; music is fun. To many people take it to seriously because of the money involved."
Scotty McCreery,"You know I used to sit there and I'd go outside and play ball and everything, but now in my free time I just kind of lay back and relax because this atmosphere is so busy and stressful, so anytime I can sleep, you'd best believe I'm sleepin'."
George Lopez,"So I started to relax and would work on my act eight hours a day, sitting at a desk writing at my grandmother's house, and I would put on Richard Pryor Live on Long Beach and would play it like a loop and think and write."
Kirsty Gallacher,"As a working mum, it's really hard to find time in the day to just relax and take a break. I am constantly on the go."
Jenn Suhr,"When you're jumping, it's just an aggressiveness, but I think the exhilaration and the fun comes after you make the bar and you're falling. That's the best part - a few seconds to celebrate and relax."
Carmelo Anthony,"I've been at the funerals of a lot of people in my neighborhood. Sometimes when I sit back and relax, I think about that and just blank out."
Will Carling,"People have to understand how important it is for the players to let off steam, switch off and relax."
Sidney Crosby,"In my situation there are often things I need to do for the team, so when I get the chance to relax it's all I want to do."
Rachael Ray,"I do 280 episodes of TV a year, write 15 recipes for the magazine, and publish an annual book. With all of that, we try to get one weekend a month with Isaboo at our home in the Adirondacks to relax and recharge."
Rachael Ray,"I used to work in kitchens, doing 12 or more hours a day of physical labor, so today, eight to 12 hours of cooking, chatting or filming feels like a vacation. When I have a scheduled 'day off,' I spend several hours writing, then I clean until I crash from fatigue. I don't relax well."
Alfonso Ribeiro,If you actually relax your vocal cords they actually work better.
Ryan Seacrest,A friend of mine has a house with a basketball court and a pool. The guys go over and play basketball; I lie by the pool and nap in the sun. That defines me. That's consistent with who I am. I don't pretend to play basketball because I wanna feel like one of the guys. I wanna lie in the sun and relax.
Mario Batali,Michigan is my antidote to Manhattan. This is where I come to relax.
Cathy Rigby,"An athlete learns how to hold her breath, but that doesn't work in singing. You have to learn to relax."
Elena Vesnina,I felt tight from the beginning of the match to the end. I couldn't relax.
Carnie Wilson,"I always think I am one of the millions and millions of people that struggles with an addiction to food. I don't know how to relax, that's my problem."
Kenny Chesney,It's very hard for me to relax.
Emily Giffin,"It's a funny thing - when I'm crazed with work, spending time with my children relaxes me. Yet, at the end of a long weekend with them, the very thing I need to relax is a little work and time away from them!"
Anna Kendrick,"You can relax more when you're playing a silly character than when you're playing a really rigid character. But to be fair, I think George Clooney is a bigger teenager than any of the 'Twilight' cast. He's the guy throwing a football at your head and then hiding around the corner, pretending it wasn't him!"
Janice Dickinson,"I relax, meditate and do 80 minutes of yoga every day."
Jamie Foxx,My worst hair experience was when I was trying to relax my hair and my grandmother did it. It went all straight and I looked like a black Bee Gee.
Courteney Cox,"A lot of times people say, 'As soon as you relax you'll have a kid.'"
Randy Johnson,"Tiger Woods, Larry Bird, Wayne Gretzky, a pitcher just before a game, I would imagine they all have nervous energy. But as you perform, the nervous energy dissipates and you start to relax and you start to do what you do best."
James Gandolfini,I find it hard to relax. I live in New York.
Hilary Rhoda,"Since traveling is such a big part of my life when I am working, I like to vacation relatively close to home. Florida is a great place for me to go and relax. It's so close, which is perfect because it's the minimal travel time."
Kathy Reichs,I tend to watch a lot of movies at home. It's nice to be close to the refrigerator with my pyjamas on and just relax.
Monica Potter,During the week it isn't always easy to sit down together and I am usually in a rush to get everyone off to school. A bowl of cereal and milk with fruit is perfect because it's quick and easy. I like to mix it up on the weekends when we can all relax in our pajamas.
Laura Marling,"It is quite hard to relax in London. I always say I'd move somewhere quieter, but I am a bit of a confirmed urbanite now - it crept up on me without me noticing. I always think that I function quite well on my own, unusually so, but then I'm reminded how important people are to me."
John Michael Higgins,That's how I relax. I love singing with my castmates.
Jonathan Rhys Meyers,"You know what I like to do on a Sunday morning? Clean my house. I really enjoy it; it's my ritual. I require tidiness, actually. I have to have everything spotless before I can relax."
Julio Iglesias,I like to relax.
Reggie Watts,"At my shows you have time to relax, time to just enjoy something really dumb, time to laugh at something that's weird or unexpected and time to think. There's all sorts of things happening and it's great being able to go any way I choose at any given moment."
Cat Power,"For me, the moment the mic is on and it's rolling, it's impossible to vocally relax for some reason. But one day, I'm going to be able to sing the way I sang when I was a little kid, completely open and free. That's, I think, the one thing that's changed: Growing older, I'm not ashamed to hear my voice."
Park Chan-wook,"If I want to relax and not do anything, I don't want to leave home."
Tyson Chandler,"When I'm at my grandparents', I know I literally have to do nothing but relax, enjoy myself, and enjoy my family members' company."
Sylvester McCoy,I don't relax. I sit down and contemplate all the energetic things I should do.
Michio Kaku,"In the future, you'll simply jump into your car, turn on the Internet, turn on a movie and sit back and relax and turn on the automatic pilot, and the car will drive itself."
Joanne Harris,"I don't listen to music when I'm writing, but I often do when I'm reworking, editing or when I need to relax."
Cobie Smulders,"When I want to relax, I plop down on my couch and watch some great movie, usually a British drama - anything with Colin Firth."
Frida Giannini,"The idea of 'ferie,' or summer break, is a long tradition of which all Italians, including myself, participate. It's a time to relax, reflect and recharge."
Ezekiel Emanuel,"I am not sure precisely why we need to have privacy, but everyone knows for sure that we need to relax and not have to put on our social, outwardly looking face all of the time."
Jhonen Vasquez,"I love zombies. I don't know how else to answer that... I have trouble falling asleep, so there are certain scenarios I use in my head to relax. I find sniping zombies very relaxing."
Benny Blanco,"I always have a ping-pong table in the studio. If you're with an artist and you notice the situation is going south a little bit, it's like, 'You wanna play ping-pong or foosball?' Or, 'You wanna go grab somethin' to eat?' And then you just like talk to them and relax them and get them comfortable and get yourself comfortable."
Ruzwana Bashir,"Before redeye flights, I drink copious amounts of herbal brews to help me relax and fall asleep after takeoff."
Fred Armisen,"I can't relax. I'm not happy unless I'm working on stuff. 'SNL' is always a huge workload, as enjoyable as it is."
Chris Liddell,I don't sit down and relax very much. I don't desire to.
Moby,I love to be busy. I'm envious of people who are able to take their spare time and relax. All I like to do is work. Perhaps it's lingering Calvinist guilt?
Bobbi Brown,"I don't relax very well, and I find it hard to sit still."
Warren Moon,"Throughout my career, I was never able to relax; I always had to go on the field with another responsibility. I felt like I was playing, not just for my team, but for my race."
Noel Gallagher,"I have 3 kids and a cat and a busy, noisy house. I get more time to relax when I'm working."
Rafael Nadal,"I am very lucky because when I come back home, I have a completely normal life. I can relax, playing golf, fishing - doing what I want. I know when I finish a tournament, I am going to relax at home."
Jessica Lowndes,"I do a lot of writing on planes, actually. It's my time that I can just relax and have absolutely no distractions."
John Oliver,I can't relax. I find vacations problematic.
Jamie Bamber,The problem with the treadmill is I just don't know what to do in my head. You either stare at the mirror or concentrate on the TV. It makes me ill because I can't relax on a treadmill.
Karl Pilkington,I'm not a proper traveler. I don't like to be challenged or have too much of a change and prefer a week away just to relax.
Katy B,I go to a club to relax and hear the music on a big sound system. I don't go to pull a guy.
Mark Romanek,"I think that I've learned to relax, and trust in and hire very talented people, and trust in their abilities a little more."
Jean-Pierre Leaud,"I always felt that with an Antoine Doinel film, Truffaut was taking a vacation, that Francois could relax when making a Doinel film. All of the language came to him very easily. 'The 400 Blows,' I felt, was a collage of all his childhood experiences. Every time he felt an Antoine Doinel film was necessary, he'd make one."
Adam Savage,"I'm always going to be making costumes. It's one of the ways I relax my brain. In addition to the pleasure of having the piece, there is a deep and abiding pleasure for me assembling something in my head - learning to know something in its totality in my head, and then putting together all the constituent parts into a cohesive whole."
Salma Hayek,"Somehow I am really relaxed within the chaos of having a baby - and anyone who's a mother knows it's very hard to relax, because there is so much to do and worry about!"
Xavi,I don't actually watch many shows. I will either watch movies or football. I enjoy to watch games in the Premier League and will also watch movies a lot as well. That is how I relax.
Kourtney Kardashian,"When every moment is constantly being filmed, it's hard to relax."
Mario Testino,"When I had photographed Prince William's mother, I brought along a CD of Dalida, a French singer, that we played on set all day to relax everyone. I decided to do the same thing for Catherine and William. The contrast of the contemporary informal music playing in the beautiful rooms with so much history caused a lot of laughter."
Henrik Lundqvist,"When I try to relax, it's more Swedish rock, softer music, and I go out and do fun stuff. I play guitar, but it doesn't matter really what it is - just something that keeps you away from hockey."
Bipasha Basu,"You don't have to do offbeat films to prove that you can act. I have done it but only to prove myself that I can fit convincingly into every kind of films. I want to do the 100 crore film where the hero does all the work, and I get to relax."
Seth Numrich,"If I could go back to my first year of acting school, I'd probably say: 'Relax. Stop taking yourself so seriously.'"
Carl Honore,"Our obsession with speed, with cramming more and more into every minute, means that we race through life instead of actually living it. Our health, diet and relationships suffer. We make mistakes at work. We struggle to relax, to enjoy the moment, even to get a decent night's sleep."
Rose George,"It's difficult on a ship to get away from your job because that accommodation house, which is where seafarers live, is their workplace, it's where they live, it's where they relax, it's everything, and it's just hard to get away. And seafarers often refer to their job as being in prison with a salary."
Jack Reynor,"'Transformers' gives people the ability to relax and rest for three hours. That's a substantial amount of time, given how plugged in to our devices we are. People don't give themselves enough time to sit down. They're no longer comfortable with themselves."
Nick Ferguson,"Like most athletes, I like to go home and relax. I try not to bring the game home with me. I might play some video games that are, let's just say, for mature audiences only. And I might get some flak for this, but I like to watch 'Seinfeld.' Sometimes, laughter is the best medicine."
Carrie Underwood,"The TV is often on in our house, but I really only keep up with three shows: 'American Idol,' 'Modern Family' and 'The Walking Dead.' Sometimes I'll sip red wine - it's a nice way to slow down and relax."
Landon Donovan,"I've always been active - outdoors, on the beach, playing - and so to go home and have to sit on my couch and relax... it's frustrating. Sometimes, you just have to really shut yourself down."
Taissa Farmiga,"I have a rebellious teenage thing. If my mom says I can't do it, I'm gonna do it. But I'm pretty good. That's why it was fun to play Sam in 'The Bling Ring.' I got to be someone crazy and wild to the extreme, then go home and relax and get rid of the burden."
Kimberley Nixon,"I'd just got back from filming my role as Flo in 'Kidnap & Ransom' when I got the news that Channel 4 had re-commissioned 'Fresh Meat,' so I think it was the first Christmas I could actually relax knowing that I had three months' work sorted. As an actor, that's always a good feeling."
Gregg Sulkin,"If I had any advice to give people, it would be to relax; never treat an audition like an emergency. There will be plenty more in your career. If you think you messed up, you probably didn't. And if you did mess up, it's not the end of the world."
Tabatha Coffey,"I think a lot of us feel the need to always be connected, and finding time to relax and sometimes play is something that I think we all need to make more time for, especially me."
Hattie Morahan,"When you're young and starting out, the big hurdle is to relax enough in rehearsal so that you don't feel intimidated. The more work you've done, the more you can experiment in rehearsal and not have to worry about getting the sack."
Kate Bush,"I listen to very little music, particularly contemporary. If I listen to it, it's going to be my own music, some arrangement or something. I spend so much time listening that the way I relax is by watching things, a comedy; that's my way to wind down."
Nick Nolte,"How do I relax? Meditate, I guess. I quit golf. You twist your back and get all cranked up."
Paul Haggis,"I like taking genres and subverting them. I did that with 'In the Valley of Elah.' I said, 'Okay, this is just a murder mystery. Relax.' And then, two thirds of the way through, I broke every convention of a murder mystery."
Luke Evans,"It's good for your body to have a break. Even when you're training, you have to have a cheat day every week. The body reacts better to training if you give it intervals of not training, or you relax the diet."
Juan Pablo Galavis,There are people who love on weekends to go out when the sun comes out. I just want to lie in bed and watch sports and relax.
Lykke Li,Some people watch comedy to relax. I watch '21 Grams.' I can recognize sadness and tragedy really easily because it's been with me forever.
Matt Flynn,"I feel like, if the guys can look at me in the huddle and see a calm and collected face, that they're going to relax a little bit. The way I look at it, leadership and being that guy is, don't be someone you're not. Don't be a hoorah guy jumping around and clapping your hands if you're not that guy."
Gautam Singhania,"Work and play go hand in hand. A lot of people want to work, work, and work until 40, and then relax. Who says you'll get to 40? Or 50? Who knows what'll happen in the next five minutes? The only reality is the present. And if you can't learn to live in the moment, you'll never be content."
Tony Ross,I don't relax. My main relaxation is meeting illustrators and publishers in restaurants and bars.
Catherine Jinks,"I'm a very nervy kind of person, who finds it almost impossible to relax."
Terry Zwigoff,"Just to get the actors to relax, listen to each other, and actually affect each other, there are a number of techniques you have to learn, and they don't all work on every actor."
Li Keqiang,"When there's downward pressure on growth, one choice is to adjust economic policy, increase deficits, relax monetary policy. That might have a short-term benefit, but may not be beneficial for the future."
Maria Karnilova,"If you relax too much, the subconscious plays the role; the conscious does something else, rather than the other way around, which is the way it's supposed to be."
Philippe Petit,"On one day of the week, I relax - which is not true, I work furiously on other things. 'Relax' is not a word to me."
Henry Petroski,I relax by looking at things and reading about things. Even the simplest thing can reveal a great deal about the world around us. It relaxes me greatly to sit back with my feet up and look around my study at the everyday things that surround me.
Edie Campbell,People need to take a breath and remember that it's only fashion. Relax. No one's going to die.
Zhu Zhu,"Sometimes I'll do a mask if I had a lot of makeup on that day or was out in the sun. I like a hydrogen mask. It's an easy one, and it's supposed to soothe and relax your skin."
Kevin Whately,"Put me on telly, and I think I have a relaxation on camera that makes an audience relax, too. It's not a conscious thing. Cameras don't bother me, whereas other people try to perform to them."
Kevin Whately,The real reason I love Bamburgh is that it's the only place in the world where I ever truly relax.
David Alpay,"To relax, I do yoga and meditate and do little math problems, and it's fun to check that part of your brain off and turn on a different part."
Peter Capaldi,"I'm creative. I can't relax unless I've got some project on the go. I'm somebody from art school, and art school during the punk era, when you just had a go at whatever came along."
Nikki Reed,"Being an actor, you have to be working even when you're not working. You never really get to relax because anytime you're relaxing in between jobs, you're just worried that you're not going to get another job."
"Isiah Whitlock, Jr.","Usually, when you're working or you're on set, everything is very guarded. At parties, people have a tendency to relax."
Mary Ellen Mark,"I don't relax. I can't take vacations. I'm obsessive-compulsive, and I worry with every project that I'm going to fail. When it starts to go well, and I sense that something beautiful and important and meaningful is being created, it's a fantastic feeling, and I find it very hard to stop."
Mark Billingham,"When a crime writer thinks up a delicious twist, it is a great moment. Time to relax and take the rest of the day off. I do think that it can be overdone, however."
Wolfgang Ketterle,"Running is a way for me to relax. With one hour of intense running, I can get a lot of physical exercise. I can relax my body. I feel a tension in my muscles when I don't run. In that sense, I need to get out a few times a week in order to do my work as a scientist, which involves a lot of sitting still."
Joan Kirner,"I'm a workaholic. I would not pretend to be anything else. I rarely go to bed before one o'clock in the morning. I might kind of have a spa between half-past twelve and one and relax, and that's when I do my thinking, or my non-thinking. That's when I have a bit of space for myself."
Charlotte McKinney,"I love fitness, yoga. I love fashion. On the weekends, I try to relax. I have pretty crazy weeks. I like spas and nice dinners. I'm not much of a club person. I like to hang on the beach in Malibu."
Jonathan Galassi,"One thing I have noticed is that when you're a younger editor, you're more intense about it. As you go along, you relax a little. More and more, I feel that the book is the author's. You give the author your thoughts, and it's up to him or her to decide what to do."
Rob Gronkowski,"Just put football first, or your job first. Give everything you've got all week, work hard, work super-hard to take it to the next level every week. And when you feel like you got to the point where you want to be, you definitely need the time to go out, relax, have a good time, take all the stress off it."
Marshall Curry,"When you are interviewing someone, never let your camera person turn off the camera. The second you turn off the camera, they'll say the magic thing that you'd been looking for the whole interview. People want to relax after the performance is done. Don't be afraid of awkward silence. That is your friend."
Marshall Curry,"A lot of filmmaking is an endurance contest between you and the people you're filming. Every time that you relax, I promise you, something interesting will happen."
Ronda Rousey,"A lot of people, once they become champion, they relax, kind of sit in the position and try to enjoy it. But I feel like everything I've ever worked for could be lost at any moment. I work harder and harder and harder, because I want to be farther ahead with every fight, and not worrying about these girls catching up to me."
Elise Andrew,"I sleep five or six hours a night, then crash at the weekend. I'm learning to eat properly and exercise. I relax by watching silly sitcoms like 'Scrubs' and 'How I Met Your Mother.'"
Heather Graham,"I definitely like not working sometimes. It's so fun. I just love sleeping in. In America, everyone is driven to succeed and wake up and do something. But I don't care. I want to sleep in. I want to relax. I don't want to have to get up every day."
Karen Elson,"I'm a fan of creating the mood and vibe with flowers, candles, and music. I love making my guests feel like it's not formal and they can relax in my home."
D. B. Weiss,Your pupillary muscles relax when your body gives up.
Milos Raonic,I have an inability after matches are over to sort of switch off and relax completely.
Carmen Marton,"When I set my eyes on the gold at the world championships, I was able to maintain that focus that whole day. That's what I aim to do in Rio - my focus is gold, so I can keep in that good state; I can't get too complacent. I can't relax; I can't be content. I need to be 100 per cent switched on."
Sean Bean,"In theatre, once you've got the character and you've got things together, you can relax into it. Film has a different feel - you don't get that through line of not stopping. Theatre is like a snowball gathering momentum and getting bigger, whereas in film, it's a bit stop and start - but you do tend to adjust to that quite easily."
Victoria Beckham,Bottom line: I can relax in L.A. I think I'm the only person in that town who doesn't want to act. I was an OK singer. I was an OK dancer. But acting? Never could do it.
